final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status
Figure_3	C	Cross-tissue receptor and metabolic attenuation	table_driven_rebuild	U26B1.1 cross-tissue concordance	U26B1_1_C1_concordance	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3C	frozen
Figure_3	D	Steroid synthesis-response decoupling	table_driven_rebuild	U26C1 branch-selective steroid summary	U26C1_steroid_branching	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3D	frozen
Figure_3	E	UPEC pregnancy versus PBS pregnancy	table_driven_rebuild	U26B1.1 C2 results	U26B1_1_C2	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3E	frozen
Figure_3	F	Pregnant versus nonpregnant infected bladder	table_driven_rebuild	U26B1.1 C3 results	U26B1_1_C3	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3F	frozen
Figure_3	G	Tissue-specific complement and inflammatory carbon	table_driven_rebuild	U26B1.1 tissue heatmaps	U26B1_1_tissue_modules	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3G	frozen
Figure_3	H	Pregnancy-outcome working model	conceptual_rebuild	U26C1 refined pregnancy synthesis	U26C1_pregnancy_model	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3H	frozen
Figure_4	A	Balanced cellular embedding	scripted_rebuild	U26D2A balanced cell annotations	U26D2A_embedding	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4A	frozen
Figure_4	B	Cluster-marker validation and refined identities	table_driven_rebuild	U26D2A top markers and U26D2A1 refinement	U26D2A_D2A1_markers	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4B	frozen
Figure_4	C	Cell-type composition across four samples	table_driven_rebuild	U26D2A1 refined composition	U26D2A1_composition	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4C	frozen
Figure_4	D	Refined immune subtypes and states	table_driven_rebuild	U26D2A1 subtype composition	U26D2A1_subtypes	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4D	frozen
Figure_4	E	TNFSF9-positive and TNFSF9-high macrophages	table_driven_rebuild	U26D2A1 fixed targeted populations	U26D2A1_TNFSF9	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4E	frozen
Figure_4	F	Strict and expanded Treg-like fractions	table_driven_rebuild	U26D2A1 fixed targeted populations	U26D2A1_Treg	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4F	frozen
Figure_4	G	Sample-by-cell-type pseudobulk core localization	table_driven_rebuild	U26D2C core cellular attribution	U26D2C_core_localization	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4G	frozen
Figure_4	H	TNFSF9-macrophage-Treg inflammation model	conceptual_rebuild	U26D2A1/U26D2C synthesis	U26D_cellular_model	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4H	frozen
Figure_5	A	Independent endocrine/lipid infection effects	reuse_and_rebuild	U27A4 Figure 7A	U27A4_Figure_7A	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5A	frozen
Figure_5	B	Pregnancy endocrine/lipid effects	reuse_and_rebuild	U27A4 Figure 7B	U27A4_Figure_7B	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5B	frozen
Figure_5	C	Broad-cell endocrine/lipid localization	reuse_and_rebuild	U27A4 Figure 7C	U27A4_Figure_7C	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5C	frozen
Figure_5	D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1 steroid branch summary	U26C1_steroid_quadrant	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5D	frozen
Figure_5	E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C broad reliability	U26D2C_cholesterol	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5E	frozen
Figure_5	F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C broad and subtype reliability	U26D2C_lipid_stress	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5F	frozen
Figure_5	G	Highest-support refined cellular subtypes	reuse_and_rebuild	U27A4 Figure 7D	U27A4_Figure_7D	Steroid, cholesterol and lipid-remodeling architecture	7	Steroid synthesis, cholesterol metabolism, receptor response and lipid-stress programs are biologically separable branches.	Figure_5G	frozen
Figure_6	A	Independent adipokine/insulin/carbon effects	reuse_and_rebuild	U27A4 Figure 8A	U27A4_Figure_8A	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6A	frozen
Figure_6	B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	reuse_and_rebuild	U27A4 Figure 8B	U27A4_Figure_8B	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6B	frozen
Figure_6	C	Broad-cell signaling trajectories	reuse_and_rebuild	U27A4 Figure 8C	U27A4_Figure_8C	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6C	frozen
Figure_6	D	Refined-subtype adipokine and carbon support	reuse_and_rebuild	U27A4 Figure 8D	U27A4_Figure_8D	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6D	frozen
Figure_6	E	Leptin-IRS-PI3K/AKT network	table_driven_rebuild	U26C1/U26D2C core synthesis	U26C1_U26D2C_metabolic_network	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6E	frozen
Figure_6	F	Glycolysis, HIF1A, glycogen and pentose phosphate	table_driven_rebuild	U26D2C broad/subtype reliability	U26D2C_carbon	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6F	frozen
Figure_6	G	Amino-acid transport and arginine-NO-urea	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_AA_NO	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6G	frozen
Figure_6	H	Purine, NAD and NRF2-redox remodeling	selected_rebuild	U27A4 Figure 9 source data	U27A4_Figure_9_selected_purine_redox	Adipokine, insulin and integrated immunometabolic remodeling	8	Adipokine and insulin signaling couple to inflammatory carbon use, nitrogen metabolism and purine-redox remodeling.	Figure_6H	frozen
Figure_7	A	Complement effects organized by stage	reuse_and_rebuild	U27A4 Figure 10A	U27A4_Figure_10A	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7A	frozen
Figure_7	B	Pregnancy complement effects	reuse_and_rebuild	U27A4 Figure 10B	U27A4_Figure_10B	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7B	frozen
Figure_7	C	Broad-cell complement localization	reuse_and_rebuild	U27A4 Figure 10C	U27A4_Figure_10C	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7C	frozen
Figure_7	D	Refined-subtype complement support	reuse_and_rebuild	U27A4 Figure 10D	U27A4_Figure_10D	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7D	frozen
Figure_7	E	Complement branch topology	table_driven_rebuild	U26C1/U26D2C complement synthesis	U26C1_U26D2C_complement_topology	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7E	frozen
Figure_7	F	C3a/C5a versus opsonophagocytosis	table_driven_rebuild	U26D2C cellular attribution	U26D2C_complement_comparison	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7F	frozen
Figure_7	G	Coverage and evidence map	table_driven_rebuild	U26D2B module coverage	U26D2B_complement_coverage	Complement branch and cellular architecture	7	Complement remodeling is branch- and cell-specific rather than uniformly activated.	Figure_7G	frozen
Figure_8	A	Core modules across infection and pregnancy contexts	reuse_and_rebuild	U27A4 Figure 11A	U27A4_Figure_11A	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8A	frozen
Figure_8	B	Cell-source-resolved core localization	reuse_and_rebuild	U27A4 Figure 11B	U27A4_Figure_11B	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8B	frozen
Figure_8	C	UPEC-associated cell-composition shifts	selected_rebuild	U27A4 Figure 11C composition subset	U27A4_Figure_11C_composition	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8C	frozen
Figure_8	D	Treg-like and TNFSF9 macrophage states	selected_rebuild	U27A4 Figure 11C targeted-state subset	U27A4_Figure_11C_targeted	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8D	frozen
Figure_8	E	Integrated mechanistic network	reuse_and_rebuild	U27A4 Figure 11D	U27A4_Figure_11D	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8E	frozen
Figure_8	F	Evidence hierarchy and limitations	table_driven_rebuild	U26C1 claim priorities and U26D2C boundaries	U26C1_U26D2C_evidence_boundary	Integrated endocrine-metabolic-immune model	6	UTI biology emerges from context-dependent endocrine, metabolic and immune programs with distinct cellular sources.	Figure_8F	frozen
