supplementary_figure	panel	panel_title	primary_source	supplementary_figure_title	planned_panels	panel_key	architecture_status
Figure_S7	A	Independent amino-acid/nucleotide/redox effects	U27A4 Figure 9A	Full amino-acid, nucleotide, nitrogen and redox atlas	4	Figure_S7A	frozen
Figure_S7	B	Pregnancy preterm-term effects	U27A4 Figure 9B	Full amino-acid, nucleotide, nitrogen and redox atlas	4	Figure_S7B	frozen
Figure_S7	C	Broad-cell cellular localization	U27A4 Figure 9C	Full amino-acid, nucleotide, nitrogen and redox atlas	4	Figure_S7C	frozen
Figure_S7	D	Refined-subtype support	U27A4 Figure 9D	Full amino-acid, nucleotide, nitrogen and redox atlas	4	Figure_S7D	frozen
Figure_S8	A	Androgen/testosterone biosynthesis	U26B1.1	Extended endocrine/lipid and complement branches	6	Figure_S8A	frozen
Figure_S8	B	Testosterone conversion/aromatization	U26B1.1	Extended endocrine/lipid and complement branches	6	Figure_S8B	frozen
Figure_S8	C	Steroid catabolism/deactivation	U26B1.1	Extended endocrine/lipid and complement branches	6	Figure_S8C	frozen
Figure_S8	D	Lectin complement outside cellular data	U26B1.1	Extended endocrine/lipid and complement branches	6	Figure_S8D	frozen
Figure_S8	E	Terminal-MAC outside cellular data	U26B1.1	Extended endocrine/lipid and complement branches	6	Figure_S8E	frozen
Figure_S8	F	Coverage limitations	U26D2B	Extended endocrine/lipid and complement branches	6	Figure_S8F	frozen
Figure_S9	A	Alternative effect metrics	U26B1.1/U26D2C	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9A	frozen
Figure_S9	B	Hedges-g variance sensitivity	U26D2C	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9B	frozen
Figure_S9	C	Composite cellular-localization score	U26D2C	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9C	frozen
Figure_S9	D	Evidence tiers	U26C1	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9D	frozen
Figure_S9	E	Claim-language boundaries	U26D2C	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9E	frozen
Figure_S9	F	Study limitations	U26C1/U26D2C	Robustness, evidence hierarchy and claim-boundary audit	6	Figure_S9F	frozen
