figure_family	figure_title	panel	panel_title	purpose	priority_modules
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
Figure_8	Inflammatory carbon use, insulin/IRS, adipokine and energy-sensing architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	LEPTIN_SIGNALING;GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;ADIPOKINE_INFLAMMATORY_AXIS;PI3K_AKT_SIGNALING;PPARG_ADIPOMETABOLIC_REGULATION;AGE_RAGE_SIGNALING;GLYCOGEN_SYNTHESIS;PENTOSE_PHOSPHATE_PATHWAY
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_9	Amino-acid, nucleotide, nitrogen, nitric-oxide and catecholamine metabolism	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;NITRIC_OXIDE_SYNTHESIS_REGULATION;ARGININE_NO_UREA;CATECHOLAMINE_IRON_REDOX_INTERFACE;AMINO_ACID_TRANSPORT;PYRIMIDINE_DEGRADATION;UREA_CYCLE;PURINE_DE_NOVO_SYNTHESIS;PYRIMIDINE_SYNTHESIS;CATECHOLAMINE_BIOSYNTHESIS_DEGRADATION
Figure_10	Complement initiation, amplification, effector and regulatory architecture	A	Independent-dataset effect heatmap	One primary effect per dataset; no repeated contrasts.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_10	Complement initiation, amplification, effector and regulatory architecture	B	Human comparator adjusted effects	Age/sex-adjusted GSE112098 estimates with FDR.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_10	Complement initiation, amplification, effector and regulatory architecture	C	Mouse bladder exposure effects	GSE186800 average Gardnerella effect, not PBS block effect.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_10	Complement initiation, amplification, effector and regulatory architecture	D	Pregnancy-tissue UPEC architecture	Median effect plus bladder/uterus/placenta heterogeneity.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_10	Complement initiation, amplification, effector and regulatory architecture	E	Exploratory UPEC pseudobulk	GSE252321 n=2 per group; direction and magnitude only.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_10	Complement initiation, amplification, effector and regulatory architecture	F	Mechanistic pathway schematic	Link prioritized submodules into immune-metabolic biology.	COMPLEMENT_C3A_C5A_SIGNALING;COMPLEMENT_OPSONOPHAGOCYTOSIS;COMPLEMENT_ALTERNATIVE;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS;COMPLEMENT_LECTIN;COMPLEMENT_CLASSICAL;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_TERMINAL_MAC
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	A	Cross-dataset convergence network	Connect recurrent immune, endocrine and metabolic modules.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	B	Pregnancy outcome architecture	Preterm-vs-term tissue-collapsed effects and tissue heterogeneity.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	C	Synthesis-response decoupling	Contrast steroid biosynthesis with receptor-response programmes.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	D	Carbon-complement-inflammatory integration	Integrate glycolysis, xanthine oxidase, complement and NETosis.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	E	Evidence hierarchy	Separate human FDR evidence, mouse effects and exploratory signals.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
Figure_11	Integrated endocrine-metabolic-immune model of urinary inflammation and pregnancy-associated UTI biology	F	Working mechanistic model	Generate manuscript-facing synthesis after final review.	INFLAMMATORY_CARBON_USE_INDEX;ESTROGEN_RECEPTOR_RESPONSE;AMINO_ACID_TRANSPORT;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING;LEPTIN_SIGNALING;STEROIDOGENESIS_CORE;INSULIN_RECEPTOR_IRS;PI3K_AKT_SIGNALING;COMPLEMENT_TERMINAL_MAC;PREGNANCY_INFLAMMATION_ANCHOR;ANDROGEN_TESTOSTERONE_BIOSYNTHESIS;RESISTIN_INFLAMMATORY_SIGNALING;PROGESTERONE_BIOSYNTHESIS_RESPONSE;FATTY_ACID_SYNTHESIS
