supplementary_table	table_title	source_order	source_role	source_status	source_path	source_relative_path	source_exists	source_supported_tabular_format	source_sha256	source_size_bytes	source_rows	source_column_count	source_columns	source_read_status
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	2	Independent-dataset recurrence ranking	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	True	True	3f53d7f1a6adc8f38640920cb7665a4ec3bd872796569c305d769691e223148d	27151	78	19	feature_id; axis; display_label; proposed_figure_family; n_independent_datasets; datasets; dataset_effects; n_positive_datasets; n_negative_datasets; dominant_direction; weighted_directional_coherence; median_effect; median_absolute_effect; max_absolute_effect; n_FDR10_datasets; n_moderate_effect_datasets; n_large_effect_datasets; validation_class; independent_evidence_priority_score	READY
S4	Cross-dataset recurrence, directional concordance and evidence-class assignments.	3	Evidence-weighted synthesis panel support	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_Figure_9_panel_evidence.tsv	True	True	036acf36b42734eac4431eadbfa85e77fb45b4cc2d5b8b689c3377d02beb5921	26868	60	14	figure_family; figure_title; panel; panel_title; panel_purpose; module_rank; feature_id; display_label; validation_class; infection_direction; infection_coherence; preterm_effect; preterm_coherence; dataset_effects	READY
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	1	Tissue-resolved preterm-versus-term effects	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	True	True	74a3379cd92d8c9ff4f8f11a14a8cb1cc049f13d22e3b43d1e272492308e21c6	49813	243	12	dataset; analysis_family; tissue; feature_type; axis; feature_id; display_label; proposed_figure_family; effect_value; q_value; fdr_0_10; direction	READY
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	2	Collapsed pregnancy-outcome effects	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	True	True	970f62d1dce9c1afeba512bf140303754266c0d4243a5b0941a6f42e6e2bd0b2	27689	81	20	dataset; primary_context; feature_type; axis; feature_id; display_label; proposed_figure_family; effect_value; mean_tissue_effect; effect_metric; n_tissues; n_positive_tissues; n_negative_tissues; tissue_directional_coherence; direction; fdr_0_10; best_tissue_q_value; evidence_weight; interpretation_role; absolute_effect	READY
S5	GSE280297 pregnancy, tissue and outcome-specific module effects.	3	Full three-contrast tissue effect matrix	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	True	True	d9e38653bca7cb06fc85a13e761c1df5d4cc4acc2cf87c4dba52eeb7bd1c1878	13360	81	8	feature_id; C1_PRETERM_VS_TERM | bladder; C1_PRETERM_VS_TERM | placenta; C1_PRETERM_VS_TERM | uterus; C2_UPEC_VS_PBS_PREGNANCY | bladder; C2_UPEC_VS_PBS_PREGNANCY | placenta; C2_UPEC_VS_PBS_PREGNANCY | uterus; C3_INFECTED_PREGNANT_VS_NONPREGNANT | bladder	READY
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	1	Flat-matrix and per-sample single-cell QC	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_flat_matrix_QC.tsv	True	True	e47ac7c5712859889db6d8eb36a51374c33e14ad77685662879be695627fb42b	3749	4	31	sample_id; raw_first_header_name_as_read_by_pandas; condition; replicate; source_path; orientation; gene_column; n_genes; n_cells; n_nonzero_values; sparsity_fraction; invalid_gene_rows; duplicate_gene_rows; nonfinite_values_replaced_with_zero; negative_values; noninteger_fraction_sampled; scale_class; median_total_expression; median_detected_genes; median_pct_mitochondrial; adaptive_qc_pass_cells; adaptive_qc_pass_fraction; suggested_total_expression_lower; suggested_total_expression_upper; suggested_detected_genes_lower; suggested_detected_genes_upper; suggested_pct_mito_upper; sparse_matrix_path; genes_path; cell_metadata_path; validation_error	READY
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	2	Cluster top-marker table	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	True	True	630e54a57249d904758a482d0ab18c4750d95823a2b68a3a299d2b6d7df5fce5	23872	450	7	cluster; rank; gene_symbol; cluster_mean_log_expression; outside_mean_log_expression; specificity_difference; global_mean_log_expression	READY
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	3	Broad-cell sample composition	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_sample_celltype_composition.tsv	True	True	f2b59d877b4c2422b33fe2b2d5bdff8df4aa677517c894954a2c0ee6bc47479d	2068	32	5	sample_id; condition; broad_cell_type; n_cells; fraction_of_QC_cells	READY
S6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	4	Refined-subtype sample composition	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	True	True	31eaa16b5690f0c0eb72f8c195be81a2fab364eb84b9b53785abd824203dd416	5550	72	5	sample_id; condition; refined_cell_subtype; n_cells; fraction_of_QC_cells	READY
S7	Broad-cell and refined-subtype pseudobulk module localization results.	1	Broad-cell localization summary	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	True	True	8f1ef011534f1cb1c8798a4dbc386be358d81074d686f4a12c39f6c7921d5156	19587	73	20	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence	READY
S7	Broad-cell and refined-subtype pseudobulk module localization results.	2	Core-module cellular localization	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	True	True	edee3c23bac107a91f1b471e22d3d18449173f767b29fa0d6edb3ef84d83946b	21268	73	24	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence; biological_priority; manuscript_claim_priority; refined_infection_outcome_relation; is_predefined_focus_module	READY
S7	Broad-cell and refined-subtype pseudobulk module localization results.	3	Refined-subtype localization summary	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	True	True	4b72f1d967a877c3e4efad5eb837b4e731cadb700d0a926c4781f5d77ca5e948	23329	73	20	feature_id; display_label; axis; proposed_figure_family; n_complete_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; dominant_direction; top_absolute_effect_population; top_absolute_effect_hedges_g; top_positive_population; top_positive_hedges_g; top_negative_population; top_negative_hedges_g; median_effect; median_absolute_effect; n_populations_abs_g_ge_0_5; n_populations_abs_g_ge_0_8; median_gene_direction_coherence	READY
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	1	Core complement and endocrine-metabolic cellular attribution	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	True	True	ada04434b6b76c1676fb190a526ad85f470e8a10775d43ec443a601c853a172f	5977	10	30	feature_id; display_label; axis; proposed_figure_family; n_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; n_high_or_moderate_populations; top_population_by_composite_score; top_population_composite_score; top_population_evidence_class; top_population_mean_gene_log2FC; top_population_gene_direction_coherence; top_population_hedges_g; top_population_variance_sensitive_g; top_to_second_score_ratio; cellular_localization_class; median_mean_gene_log2FC; median_gene_direction_coherence; median_composite_score; top_refined_subtype; top_refined_subtype_composite_score; top_refined_subtype_mean_gene_log2FC; top_refined_subtype_gene_direction_coherence; top_refined_subtype_hedges_g; top_refined_subtype_variance_sensitive_g; biological_priority; manuscript_claim_priority; refined_infection_outcome_relation	READY
S8	Complement-stage and endocrine-metabolic cellular attribution tables.	2	Module-level cellular synthesis across immune populations	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_module_cellular_synthesis.tsv	True	True	799c6a755e47d5bc4e392ef1d4d7c73070aa7c78d7ccb2fd9eb7ef542782e473	31868	73	27	feature_id; display_label; axis; proposed_figure_family; n_populations; n_positive_populations; n_negative_populations; directional_coherence_fraction; n_high_or_moderate_populations; top_population_by_composite_score; top_population_composite_score; top_population_evidence_class; top_population_mean_gene_log2FC; top_population_gene_direction_coherence; top_population_hedges_g; top_population_variance_sensitive_g; top_to_second_score_ratio; cellular_localization_class; median_mean_gene_log2FC; median_gene_direction_coherence; median_composite_score; top_refined_subtype; top_refined_subtype_composite_score; top_refined_subtype_mean_gene_log2FC; top_refined_subtype_gene_direction_coherence; top_refined_subtype_hedges_g; top_refined_subtype_variance_sensitive_g	READY
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	1	Frozen Figure 1-8 asset manifest	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	True	True	8bb67464561f749f217c1f7982bce5312c878574e1abf4524143671d5a8634ae	39896	83	13	source_path; package_path; format; size_bytes; source_sha256; package_sha256; checksum_match; png_width_px; png_height_px; asset_type; figure_number; panel; source_freeze_phase	READY
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	2	Figure and panel title registry	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	True	True	1fe686d0b9c874415983884ea51782d5acc8e20dd0badaec3b5d57a232dd3b43	49496	57	15	figure_number; final_figure; figure_title; panel; panel_key; panel_title; panel_title_source_column; source_id; construction_mode; primary_source; figure_png; figure_svg; figure_pdf; panel_crop; source_value_table	READY
S9	Figure 1-8 source-value manifest and panel-level provenance registry.	3	Accession-corrected panel legend provenance registry	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_panel_legend_provenance_registry.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_panel_legend_provenance_registry.tsv	True	True	32c8c9965d56e6a4b15f032bd098f1ca5f559cd5546eb42bdedf0fffae5e93e0	56854	57	12	figure_number; figure_title; panel; panel_key; frozen_panel_title; definitive_panel_legend; source_roles; source_paths; source_value_table; source_value_rows_for_panel; panel_crop; figure_svg	READY
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	1	Accession-corrected caveat terminology registry	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_caveat_terminology_registry.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_caveat_terminology_registry.tsv	True	True	eb86b34049b11c8dd04cbbaab3deedf56854ff2f6eaa1bb1d61b0349b0d8e67d	963	8	3	caveat_id; required_statement; figure_scope	READY
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	2	Cellular-localization claim-boundary matrix	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	03_metadata/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_claim_boundary_matrix.tsv	True	True	8effd563ce854e423b3c19fce8c650b816f870272f07c6446ef9ea8b140e5dbd	1098	6	3	finding_type; allowed_wording; avoid_wording	READY
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	3	Future accession validation rules	LOCKED_HIGH_CONFIDENCE	project://03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_accession_validation_rules.tsv	03_metadata/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_accession_validation_rules.tsv	True	True	77e44e6967b6d4c88d0986f7f8be7971b55bc57045e9fd1b40dee1401b7a9123	242	2	4	rule_id; term; rule; scientific_identity	READY
S10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	4	Accession correction and preservation traceability	LOCKED_HIGH_CONFIDENCE	project://06_tables/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_preservation_and_accession_audit.tsv	06_tables/phaseU27B3E22_targeted_accession_correction/UTI_HostOmics_U27B3E22_preservation_and_accession_audit.tsv	True	True	12ea51eb771b68c29d4928b12079dab90631d6354dbae7b1fb6d6d0b4b070618	1111	1	18	source_manuscript; source_sha256_before; source_sha256_after; source_unchanged; corrected_manuscript; corrected_sha256; text_equivalent_except_accession_and_version_labels; source_wrong_accession_occurrences; corrected_wrong_accession_occurrences; corrected_correct_accession_occurrences; results_wrong_accession_absent; results_correct_accession_present; embedded_images_before; embedded_images_after; embedded_images_match_frozen_png_masters; figures_require_rebuild; scientific_values_recalculated; source_locks_changed	READY
