body_index	element_type	paragraph_index	table_index	text	style_id	detected_section	word_count	character_count	has_drawing
35	paragraph	35		The recurrence, pregnancy-associated UTI, and human urine comparator contrasts were merged into a context-by-module atlas. Each module was summarized across contexts by the number of contributing contrasts, number of model families represented, mean and median absolute module-score delta, maximum absolute delta, mean absolute effect size, minimum P value, minimum FDR, positive and negative directional context counts, concordance fraction, and dominant direction. A cross-cohort priority score was then calculated to rank modules by effect-size magnitude, model-family breadth, and directional concordance. This generated the Phase U7 integrated module atlas and candidate cross-cohort host-response hierarchy.			92	713	False
36	paragraph	36		Single-cell UPEC module scoring	Heading2		4	31	False
37	paragraph	37		The GSE252321 single-cell validation layer was processed from four extracted gene-by-cell count matrices. Each matrix was streamed in a memory-safe manner. In the first pass, per-cell total counts, detected genes, matrix gene counts, and module-gene coverage were calculated. In the second pass, counts were normalized within each cell by library size, scaled to 10,000 counts per cell, log-transformed using log1p, and summarized into module scores by averaging the normalized expression of present module genes. Per-cell module scores were retained in both wide and long formats, and per-sample mean and median module scores were calculated for Control_1, Control_2, UPEC_1, and UPEC_2.			101	688	False
38	paragraph	38		Single-cell validation was evaluated at two levels. First, sample-level Control-versus-UPEC contrasts were calculated from the four biological sample summaries and treated as the primary replicate-aware single-cell summary. Second, cell-level Control-versus-UPEC contrasts were calculated across all cells and interpreted as a module-score distribution comparison. The cell-level statistics were not interpreted as independent biological-replicate tests because cells are nested within two control and two UPEC biological samples.			65	530	False
39	paragraph	39		Integration of single-cell validation with the cross-cohort atlas	Heading2		8	65	False
40	paragraph	40		The Phase U9 integration step merged the cross-cohort priority table with the GSE252321 sample-level and cell-level single-cell module contrasts. For each module, the bulk-dominant cross-cohort direction was compared with the single-cell sample-level and cell-level UPEC-versus-control directions. Modules were classified as bulk-consistent sample-and-cell validated when both single-cell summaries matched the cross-cohort dominant direction. Modules with internally consistent single-cell directionality that differed from the cross-cohort dominant direction were classified as single-cell-consistent but bulk-dominant-discordant. These discordant patterns were treated as potential compartment- or cell-state-specific behavior rather than contradictions.			85	757	False
41	paragraph	41		Figure generation and manuscript traceability	Heading2		5	45	False
42	paragraph	42		Draft heatmaps and barplots were generated during the analysis phases and exported in PNG, SVG, EPS, and high-resolution TIFF formats where applicable. A manuscript-facing figure map, results subsection outline, table-to-claim traceability table, and results claim index were created to ensure that each major manuscript statement could be traced to a specific output table and candidate figure. The Methods draft was similarly linked to computational phases, input files, and generated output tables through the Phase U12 methods traceability table.			78	550	False
43	paragraph	43		Statistical and interpretive boundaries	Heading2		4	39	False
44	paragraph	44		The study was designed as an integrative public-omics reanalysis rather than a new prospective cohort. Therefore, results were interpreted as module-level convergence and validation across public datasets, not as causal evidence. Cross-dataset integration was performed at the module level because platform, organism, tissue, sample type, and study-design differences made direct pooled gene-level inference inappropriate. Single-cell cell-level statistics were interpreted as distributional validation because cells are nested within biological samples. Metabolic modules were interpreted as transcriptionally inferred metabolic activity rather than direct biochemical flux. Datasets lacking recoverable gene identifiers or adequate module coverage were held from formal scoring to preserve feature-level interpretability.			101	823	False
45	paragraph	45		Results	Heading1	Results	1	7	False
46	paragraph	46		An expanded multi-context atlas establishes the analytical and evidence framework	Heading2		10	81	False
47	paragraph	47		We assembled a multi-context host-response atlas spanning a human urinary/systemic inflammatory comparator (GSE112098; n=73), a mouse pregnancy-associated UTI model sampled across bladder, placenta and uterus (GSE280297; n=60 tissue samples), a mouse recurrent or prior-exposure bladder model (GSE168600; n=20), and a four-sample single-cell UPEC experiment (GSE252321). The analytical framework comprised 78 curated submodules distributed across ten biological axes, including steroid-cholesterol-endocrine biology, lipid metabolism, adipokine and insulin/IRS signaling, inflammatory carbon metabolism, amino-acid metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, immune-context anchors and stress-adjacent signaling. Each dataset was analyzed independently in its native species and tissue context, and cross-study integration was performed using signed standardized effects, recurrence and directional concordance rather than pooled raw expression (Figure 1A-E).			119	988	False
48	paragraph	48		The evidence framework separated modules with recurrent cross-dataset concordance from provisional effects supported by one false-discovery-rate-qualified dataset plus independent directional support, context-divergent effects, and modules with limited independent evidence. This hierarchy was used throughout the atlas to distinguish reproducible host-response architecture from biologically plausible but context-sensitive signals. The cellular scoring layer retained 73 score-eligible modules and was interpreted as localization evidence rather than as an additional independent cohort (Figure 1F).			70	601	False
49	paragraph	49		Independent datasets identify a recurrent TLR4-leptin-PI3K-AKT infection core	Heading2		8	77	False
50	paragraph	50		Independent analysis of the eligible infection contrasts identified a recurrent signaling core centered on TLR4-LPS sensing, leptin signaling and PI3K-AKT activity. These modules showed the most consistent positive infection-associated direction across the independently analyzed datasets. Insulin receptor/IRS signaling, glycogen synthesis and inflammatory-carbon programs contributed additional support, but their magnitudes and recurrence varied across models, consistent with context-dependent metabolic engagement rather than a uniform response across all tissues and species (Figure 2A-C).			72	595	False
51	paragraph	51		The adjusted human comparator and the mouse factorial contrasts further separated recurrent from context-specific biology. TLR4-LPS, leptin and PI3K-AKT retained the clearest cross-dataset support, whereas several endocrine, lipid, carbon-use and immune-effector modules were prominent only in particular models. Evidence-weighted concordance therefore captured shared direction without assuming equivalent effect magnitude or identical mechanism across datasets. Complement C3a/C5a signaling and opsonophagocytosis also recurred across contexts, but these were retained as provisional core features because independent sample support was more limited (Figure 2D-G).			81	666	False
52	paragraph	52		Pregnancy-associated UTI shows tissue-specific and branch-selective remodeling	Heading2		7	78	False
53	paragraph	53		The GSE280297 design resolved mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC states across bladder, placenta and uterus. This architecture enabled separate evaluation of preterm-versus-term outcome effects, UPEC-versus-PBS effects during pregnancy and pregnant-versus-nonpregnant bladder effects. No broad pregnancy-wide false-discovery-rate signal was detected; accordingly, the pregnancy analyses were interpreted through effect size, tissue coherence and branch-level biological organization rather than through a claim of global significance. Tissue samples were retained as the inferential units because dam identifiers were unavailable (Figure 3A-C).			81	664	False
54	paragraph	54		Within the preterm-versus-term comparison, steroid biology was characterized by synthesis-response decoupling rather than uniform activation or suppression. Core steroidogenesis and androgen/testosterone biosynthesis tended to shift positively, whereas estrogen biosynthesis/interconversion and cholesterol-biosynthetic programs tended to shift negatively. Broad receptor-response and metabolic-effector domains were comparatively attenuated. The resulting pattern supports a branch-selective pregnancy-associated reorganization in which steroid synthesis or transformation can diverge from downstream cellular response programs (Figure 3D-F).			69	643	False
55	paragraph	55		Complement and inflammatory-carbon biology was likewise branch-selective. C3a/C5a signaling, opsonophagocytosis, complement regulation, coagulation crosstalk and carbon-use programs differed across tissues and contrasts rather than moving as a single coordinated pathway. These findings define a tissue- and outcome-dependent pregnancy model in which UPEC-associated innate sensing and complement activation intersect with endocrine and metabolic remodeling, while remaining exploratory in the absence of broad pregnancy-wide FDR support (Figure 3G,H).			68	552	False
56	paragraph	56		Single-cell reconstruction localizes recurrent modules to specific immune compartments	Heading2		9	86	False
57	paragraph	57		The four GSE252321 samples contained 28,313 cells, of which 27,385 passed quality control. Marker-based reconstruction resolved 18 clusters that were consolidated into six broad immune populations and 14 refined subtypes, including LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells. Because the biological design comprised two control and two UPEC samples, all composition and localization results were treated as descriptive biological-replicate summaries rather than cell-level independent tests (Figure 4A-D).			77	609	False
58	paragraph	58		UPEC exposure was associated with a larger neutrophil fraction (difference, +0.210) and macrophage/monocyte fraction (+0.097), accompanied by lower T-cell (-0.132), dendritic-cell (-0.103), cycling-immune (-0.036), NK-cell (-0.025) and mast-cell (-0.010) fractions. Within T cells, the strict Treg-like fraction increased from 0.017 in controls to 0.083 in UPEC samples. Within macrophage/monocytes, the TNFSF9-positive fraction increased from 0.171 to 0.304, and the prespecified TNFSF9-high fraction increased from 0.037 to 0.080 (Figure 4C-F).			84	546	False
59	paragraph	59		Cell-type pseudobulk scoring localized the recurrent modules to distinct immune compartments. C3a/C5a signaling showed coherent pan-immune support with strongest localization to dendritic and cDC1-like states; glycogen synthesis was broadly coherent and strongest in neutrophils or inflammatory monocytes; IRS signaling was strongest in T-cell and regulatory-like T-cell compartments; androgen-receptor signaling was strongest in dendritic and cDC2-like states; and TLR4-LPS signaling showed a lymphoid-weighted pattern with strongest refined support in activated T cells. Opsonophagocytosis was predominantly myeloid and strongest in activated dendritic cells. These localizations are hypothesis-generating: with n=2 samples per group, the minimum attainable exact two-sided permutation p-value was 0.333 (Figure 4G,H).			105	820	False
60	paragraph	60		Steroid, cholesterol and lipid programs separate synthesis from response	Heading2		9	72	False
61	paragraph	61		Focused endocrine analysis confirmed that the pregnancy-associated steroid pattern was organized across distinct branches rather than along a single activation axis. Steroidogenesis, androgen/testosterone synthesis, estrogen synthesis and interconversion, cholesterol biosynthesis and handling, and androgen, estrogen and glucocorticoid response programs displayed different directions across infection, pregnancy and tissue contexts. The infection-versus-pregnancy comparison consequently separated synthesis-associated effects from receptor-response effects and reinforced the synthesis-response decoupling model (Figure 5A-D).			67	629	False
62	paragraph	62		Cellular localization added a compartmental dimension to this endocrine architecture. Androgen-receptor signaling showed broad immune support with strongest refined localization in cDC2-like cells, whereas cholesterol and lipid-regulatory programs varied among dendritic, macrophage/monocyte, neutrophil, lymphoid and cycling compartments. Lipid-droplet dynamics, PPAR/SREBP/LXR regulation, ferroptosis-linked lipid peroxidation, fatty-acid synthesis and beta-oxidation, phospholipid metabolism, sphingolipid/ceramide metabolism and eicosanoid/prostaglandin metabolism were context dependent. Fatty-acid synthesis was especially branch divergent, with strongest broad support in cycling immune cells and strongest refined support in regulatory/type-2-like T cells (Figure 5E-G).			88	778	False
63	paragraph	63		Adipokine, insulin and metabolic programs define a broader immunometabolic response	Heading2		10	83	False
64	paragraph	64		The focused immunometabolic analysis positioned leptin, insulin receptor/IRS and PI3K-AKT signaling at the interface between innate sensing and metabolic adaptation. Leptin and PI3K-AKT were recurrently positive in infection contexts but attenuated in the preterm-versus-term comparison, whereas IRS signaling showed broad cellular coherence with strongest localization in T-cell and regulatory-like T-cell compartments. The integrated topology therefore supports coordinated, context-dependent coupling among adipokine signaling, insulin-response machinery, TLR4-LPS sensing and downstream carbon-use programs, without establishing a direct causal sequence (Figure 6A-E).			79	672	False
65	paragraph	65		Transcriptionally inferred carbon-use programs included glycolysis, lactate/HIF1A signaling, glycogen synthesis, pentose-phosphate activity, gluconeogenic and tricarboxylic-acid-cycle modules. Glycogen synthesis showed coherent pan-immune support, with strongest broad localization in neutrophils and strongest refined localization in inflammatory monocytes. The remaining carbon programs varied across pregnancy, tissue and infection contrasts, indicating flexible pathway deployment rather than a single universal metabolic state (Figure 6F).			60	544	False
66	paragraph	66		Amino-acid, nitrogen, nucleotide and redox modules extended this metabolic architecture. Amino-acid transport was context dependent, with strongest broad localization in dendritic cells and strongest refined localization in cytotoxic NK cells. Arginine/nitric-oxide and urea-cycle biology, glutamine and tryptophan metabolism, methionine/SAM and serine/glycine/one-carbon pathways, purine and pyrimidine metabolism, NAD biology, xanthine-oxidase-linked oxidative purine catabolism and NRF2-redox programs all showed contrast-specific remodeling. These modules represent transcriptionally inferred pathway activity and do not measure metabolite concentrations, reaction rates or metabolic flux (Figure 6G,H).			84	707	False
67	paragraph	67		Complement remodeling is branch-selective and cell-context dependent	Heading2		7	68	False
68	paragraph	68		Complement-specific reconstruction resolved classical, lectin and alternative initiation, C3 convertase and amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology, complement regulation and coagulation crosstalk. The branches differed across independent infection and pregnancy contrasts, arguing against a simple global complement activation model. C3a/C5a signaling and opsonophagocytosis provided the most recurrent cross-context support, although both remained provisional where independent sample support was limited (Figure 7A,B,E,F).			67	580	False
69	paragraph	69		Cellular attribution further separated inflammatory and effector branches. C3a/C5a signaling was broadly distributed and strongest in dendritic or cDC1-like states, whereas opsonophagocytosis was myeloid weighted and strongest in activated dendritic cells. Seven of nine complement modules had eligible cell-level support; lectin-pathway and terminal membrane-attack-complex modules were not represented in the cell-level matrix and should therefore be considered unavailable rather than biologically absent. The resulting complement architecture links branch-specific tissue effects to distinct cellular compartments (Figure 7C,D,G).			79	634	False
70	paragraph	70		Integrated evidence separates recurrent, provisional and contextual UTI biology	Heading2		9	79	False
71	paragraph	71		Across the complete atlas, UPEC/TLR4 signaling converged with leptin-IRS-PI3K/AKT activity, complement and opsonophagocytosis, steroid and lipid branching, and carbon, nitrogen and redox remodeling. These programs were distributed across expanded neutrophil and macrophage/monocyte compartments, activated dendritic states, lymphoid signaling niches, TNFSF9-positive macrophages and regulatory-inflammatory Treg-like states. Pregnancy and tissue context altered the relative balance among these branches rather than creating a single uniformly activated host state (Figure 8A-E).			70	579	False
72	paragraph	72		The final evidence model therefore distinguishes a robust recurrent core from provisional and context-divergent biology. TLR4-LPS, leptin and PI3K-AKT constitute the strongest recurrent infection-associated framework; complement C3a/C5a signaling and opsonophagocytosis remain provisional recurrent features; pregnancy-associated steroid biology is best described as branch-selective synthesis-response decoupling; and the single-cell layer localizes these programs without overcoming the limited biological replication. The integrated network is an evidence-weighted synthesis rather than a direct causal model, and all metabolic interpretations refer to transcriptionally inferred pathway activity rather than flux (Figure 8F).			86	729	False
73	paragraph	73		Discussion	Heading1	Discussion	1	10	False
74	paragraph	74		Principal findings	Heading2		2	18	False
75	paragraph	75		This integrative reanalysis identified a validated UTI host-response architecture in which 17 modules were directionally supported by both cross-cohort and single-cell evidence [Worby_2022_rUTI_multiomics; Liu_2025_CD137L_macrophage_UPEC_scRNA; Bandyopadhyay_2020_urinary_molecular_signature_sepsis]. The highest-priority modules were NEUTROPHIL_NETOSIS, TYPE_I_INTERFERON_IRF, TLR4_LPS_SIGNALING, NLRP3_PYROPTOSIS, TLR5_FLAGELLIN_SIGNALING, NECROPTOSIS_MODULE, COMPLEMENT_COAGULATION_ANTIMICROBIAL, NF_KB_MAPK_INFLAMMATION, MACROPHAGE_DC_ACTIVATION, GLUCOCORTICOID_SIGNALING. Together, these modules define an inflammatory architecture centered on innate sensing, neutrophil and myeloid effector activity, inflammatory cell-death-associated programs, hormonal-response modules, oxidative stress, and transcriptionally inferred metabolic activity.			67	847	False
76	paragraph	76		Innate sensing and signal-transduction architecture	Heading2		5	51	False
77	paragraph	77		TLR4/LPS and TLR5/flagellin signaling were among the strongest validated modules, accompanied by NF-kB/MAPK inflammation and interferon-like/IRF programs. This pattern supports a model in which UTI-related host response is not captured by a single inflammatory pathway but instead involves coordinated microbial sensing and downstream signal-transduction programs. The single-cell validation layer strengthens this interpretation because these modules increased in UPEC-exposed cells at both sample-summary and cell-distribution levels [Hannan_2023_immune_defenses_urinary_tract; Schwartz_2023_uropathogen_host_pyelonephritis; Russell_2023_UPEC_epithelial_trained_immunity].			72	674	False
78	paragraph	78		Neutrophil, myeloid, and antimicrobial effector biology	Heading2		6	55	False
79	paragraph	79		Neutrophil/NETosis was the top-ranked validated module, and complement/coagulation/antimicrobial defense and macrophage/DC activation also ranked highly. These findings suggest that inflammatory effector recruitment, antimicrobial defense, and myeloid activation are central features of the cross-context UTI host-response atlas [Hannan_2023_immune_defenses_urinary_tract; Schwartz_2023_uropathogen_host_pyelonephritis; Liu_2025_CD137L_macrophage_UPEC_scRNA; Masajtis_Zagajewska_2017_NETs_UTI; Demirel_2023_NETs_children_UTI]. However, because module scores can reflect both cell abundance and per-cell transcriptional state, these signals should be interpreted as inflammatory program enrichment rather than direct measurement of cell-type proportions unless supported by later deconvolution or annotation layers.			82	814	False
80	paragraph	80		Inflammatory cell-death-associated programs	Heading2		3	43	False
81	paragraph	81		NLRP3/pyroptosis, necroptosis, and ferroptosis/oxidative cell-death modules were recurrently prioritized. These modules provide a cell-injury and inflammatory cell-death-associated layer linking tissue inflammation, urine inflammatory states, pregnancy-associated contexts, and UPEC-responsive single-cell data [Demirel_2018_NLRP3_UPEC; Russell_2023_UPEC_epithelial_trained_immunity]. The results should be interpreted as transcriptional evidence for cell-death-associated programs rather than direct evidence of executed pyroptosis, necroptosis, apoptosis, or ferroptosis.			56	573	False
82	paragraph	82		Pregnancy-associated hormonal and inflammatory modules	Heading2		5	54	False
83	paragraph	83		Glucocorticoid signaling and oxytocin/pregnancy signaling connected pregnancy-associated UTI contrasts with the broader single-cell validation architecture. This supports the idea that pregnancy-associated UTI risk and inflammatory response may involve interactions between innate immune activation and hormonal-response transcriptional programs [GSE280297_maternofetal_UTI_preterm; Solano_Arck_2020_steroids_pregnancy_fetal_development; Cain_Cidlowski_2017_immune_regulation_glucocorticoids; UvnasMoberg_2023_oxytocin_labor_peripartum]. These modules should be framed as transcriptional signatures of hormonal-response biology rather than direct hormone concentration measurements.			59	682	False
84	paragraph	84		Transcriptionally inferred metabolic and oxidative-stress activity	Heading2		6	66	False
85	paragraph	85		Oxidative stress, pentose-phosphate/NADPH, glycolysis-associated, and TCA/OXPHOS modules contributed an immunometabolic layer to the atlas. These results should be described as transcriptionally inferred metabolic activity, not direct metabolic flux [Wang_2024_scPS_benchmark; Andreatta_2026_UCell_pyUCell; Andreatta_2021_UCell]. The TCA/OXPHOS module was especially informative because it showed single-cell-consistent directionality that differed from the bulk-dominant direction, suggesting that mitochondrial/TCA/OXPHOS-associated expression may depend strongly on compartment composition or UPEC-responsive cell state.			67	623	False
86	paragraph	86		Directionally discordant modules and compartment specificity	Heading2		6	60	False
