figure_number	figure_title	panel	panel_key	frozen_panel_title	definitive_panel_legend	source_roles	source_paths	source_value_table	source_value_rows_for_panel	panel_crop	figure_svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	E	Figure_2E	Adjusted systemic inflammatory comparator	Age- and sex-adjusted estimates for systemic comparator modules in the human dataset, shown as signed adjusted effects.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	F	Figure_2F	Gardnerella contextual effects and block separation	Contextual factorial estimates for signaling and metabolic modules, highlighting effects that were strong in a specific model but not uniformly recurrent across all datasets.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	7	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
2	Cross-dataset infection effects, recurrent cores and contextual comparators	G	Figure_2G	Evidence-weighted concordance network	Evidence-weighted directional concordance versus the median independent effect. Weighted concordance summarizes consistency of effect direction across eligible contrasts and is not a pooled expression estimate.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	6	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	A	Figure_3A	GSE280297 experimental and tissue design	Pregnancy and tissue design for GSE280297, showing the distribution of mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC samples across bladder, placenta and uterus.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	B	Figure_3B	Preterm-versus-term effects by tissue	Selected preterm-versus-term effects by tissue, illustrating the branch-selective pregnancy remodeling of endocrine, metabolic and complement modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	C	Figure_3C	Cross-tissue receptor and metabolic attenuation	Cross-tissue coherence of selected modules. Points show the median Hedges g across eligible tissues, with the accompanying directional-coherence annotation indicating whether tissue-specific estimates shared the same sign.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	D	Figure_3D	Steroid synthesis-response decoupling	Domain-level summary of steroid synthesis-response decoupling. Steroidogenic and complement-effector branches tended to differ from attenuated steroid-receptor and metabolic-effector responses, supporting a branch-selective rather than globally activated or suppressed model.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	E	Figure_3E	UPEC pregnancy versus PBS pregnancy	UPEC-versus-PBS effects during pregnancy across tissues for selected signaling, endocrine, lipid, carbon and complement modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	F	Figure_3F	Pregnant versus nonpregnant infected bladder	Pregnant-versus-nonpregnant bladder effects, summarized as Hedges g for selected modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	10	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	G	Figure_3G	Tissue-specific complement and inflammatory carbon	Complement and inflammatory-carbon branches across the available pregnancy, infection and tissue contrasts.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	9	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	H	Figure_3H	Pregnancy-outcome working model	Working model in which UPEC exposure during pregnancy engages TLR4/complement and inflammatory-carbon responses while steroid synthesis and androgen branches are partly uncoupled from attenuated receptor and metabolic-effector programs, producing tissue-specific outcome biology.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	4	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_H.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg
4	Single-cell composition, immune states and cellular localization	A	Figure_4A	Balanced cellular embedding	Balanced two-dimensional embedding of quality-controlled GSE252321 single cells, colored by broad immune population after marker-based reconstruction.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	10000	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	B	Figure_4B	Cluster-marker validation and refined identities	Cluster-marker validation heatmap using one high-priority marker per cluster to support the reconstructed broad and refined immune labels.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	36	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	C	Figure_4C	Cell-type composition across four samples	Broad-cell composition in two control and two UPEC samples. Bars show the fraction of quality-controlled cells assigned to each broad immune population.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	28	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_C.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	D	Figure_4D	Refined immune subtypes and states	Relative abundance of refined immune subtypes across the four biological samples, including inflammatory monocytes, reparative macrophages, activated dendritic cells, cycling immune cells and regulatory/type-2-like lymphoid states.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	44	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_D.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	E	Figure_4E	TNFSF9-positive and TNFSF9-high macrophages	Fractions of macrophage/monocyte cells with detectable TNFSF9 and with TNFSF9 expression above the prespecified pooled high-expression threshold in control and UPEC samples.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	8	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_E.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	F	Figure_4F	Strict and expanded Treg-like fractions	Strict and expanded Treg-like fractions within T cells. Strict Treg-like cells required FOXP3 together with at least one supporting marker; the expanded definition required FOXP3 or at least two supporting markers.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	8	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_F.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	G	Figure_4G	Sample-by-cell-type pseudobulk core localization	Broad-cell localization of selected recurrent endocrine, metabolic, complement and inflammatory modules using module-mean gene log2 fold changes from independently constructed cell-type pseudobulks.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	60	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_G.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
4	Single-cell composition, immune states and cellular localization	H	Figure_4H	TNFSF9-macrophage-Treg inflammation model	Descriptive model linking UPEC-associated myeloid expansion and activation, TNFSF9-positive macrophage states, T-cell/dendritic module localization and expansion of regulatory-inflammatory Treg-like states.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	26	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_H.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg
5	Steroid, cholesterol and lipid-remodeling architecture	A	Figure_5A	Independent endocrine/lipid infection effects	Independent infection effects for steroidogenesis, androgen/testosterone and estrogen biology, cholesterol handling, receptor responses and lipid-regulatory or lipid-stress modules.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	48	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_A.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
5	Steroid, cholesterol and lipid-remodeling architecture	B	Figure_5B	Pregnancy endocrine/lipid effects	Preterm-versus-term endocrine effects across bladder, placenta and uterus, including steroidogenesis, androgen/testosterone, estrogen, cholesterol and receptor-response branches.		project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv; project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv	9	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_B.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg
