final_figure	panel	panel_key	panel_title	construction_mode	source_id	primary_source_description	phase_hint	resolution_type	resolved_for_implementation	top_table_or_metadata_candidate	top_candidate_score	top_candidate_columns	n_ranked_table_candidates	visual_reference_assets	source_bundle_paths	requires_manual_candidate_selection
Figure_3	H	Figure_3H	Pregnancy-outcome working model	conceptual_rebuild	U26C1_pregnancy_model	U26C1 refined pregnancy synthesis	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	48.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_4	A	Figure_4A	Balanced cellular embedding	scripted_rebuild	U26D2A_embedding	U26D2A balanced cell annotations	U26D2A	table_or_metadata_driven	True	project://03_metadata/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_balanced_cell_annotations.tsv.gz	47.0	cell_id;raw_barcode;sample_id;condition;replicate;total_expression;detected_genes;mitochondrial_expression;pct_mitochondrial;adaptive_qc_pass;balanced_subset_row;cluster;broad_cell_type;annotation_confidence;corrected_component_1;corrected_component_2	8			False
Figure_4	B	Figure_4B	Cluster-marker validation and refined identities	table_driven_rebuild	U26D2A_D2A1_markers	U26D2A top markers and U26D2A1 refinement	U26D2A	table_or_metadata_driven	True	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	64.0	cluster;rank;gene_symbol;cluster_mean_log_expression;outside_mean_log_expression;specificity_difference;global_mean_log_expression	8			False
Figure_4	C	Figure_4C	Cell-type composition across four samples	table_driven_rebuild	U26D2A1_composition	U26D2A1 refined composition	U26D2A1	table_or_metadata_driven	True	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_refined_sample_celltype_composition.tsv	59.0	sample_id;condition;refined_broad_cell_type;n_cells;fraction_of_QC_cells	8			False
Figure_4	D	Figure_4D	Refined immune subtypes and states	table_driven_rebuild	U26D2A1_subtypes	U26D2A1 subtype composition	U26D2A1	table_or_metadata_driven	True	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_sample_subtype_composition.tsv	48.0	sample_id;condition;refined_cell_subtype;n_cells;fraction_of_QC_cells	8			True
Figure_4	E	Figure_4E	TNFSF9-positive and TNFSF9-high macrophages	table_driven_rebuild	U26D2A1_TNFSF9	U26D2A1 fixed targeted populations	U26D2A1	table_or_metadata_driven	True	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_fixed_targeted_population_summary.tsv	47.0	sample_id;condition;targeted_measure;numerator_cells;parent_cells;value;definition	8			True
Figure_4	F	Figure_4F	Strict and expanded Treg-like fractions	table_driven_rebuild	U26D2A1_Treg	U26D2A1 fixed targeted populations	U26D2A1	table_or_metadata_driven	True	project://03_metadata/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_refined_all_QC_cell_annotations.tsv.gz	52.5	cell_id;raw_barcode;sample_id;condition;replicate;total_expression;detected_genes;mitochondrial_expression;pct_mitochondrial;adaptive_qc_pass;cluster;broad_cell_type;annotation_confidence;corrected_component_1;corrected_component_2;Treg_score;CD137L_macrophage_score;cycling_score;interferon_response_score;Treg_candidate;CD137L_high_macrophage_candidate;refined_broad_cell_type;refined_cell_subtype;FOXP3_log_normalized;IL2RA_log_normalized;CTLA4_log_normalized;TNFRSF18_log_normalized;IKZF2_log_normalized;TNFSF9_log_normalized;ADGRE1_log_normalized;LYZ2_log_normalized;CSF1R_log_normalized;CD68_log_normalized;strict_Treg_like_candidate;expanded_Treg_like_candidate;TNFSF9_positive_macrophage;TNFSF9_high_macrophage	8			False
Figure_4	G	Figure_4G	Sample-by-cell-type pseudobulk core localization	table_driven_rebuild	U26D2C_core_localization	U26D2C core cellular attribution	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	60.0	feature_id;display_label;axis;proposed_figure_family;n_populations;n_positive_populations;n_negative_populations;directional_coherence_fraction;n_high_or_moderate_populations;top_population_by_composite_score;top_population_composite_score;top_population_evidence_class;top_population_mean_gene_log2FC;top_population_gene_direction_coherence;top_population_hedges_g;top_population_variance_sensitive_g;top_to_second_score_ratio;cellular_localization_class;median_mean_gene_log2FC;median_gene_direction_coherence;median_composite_score;top_refined_subtype;top_refined_subtype_composite_score;top_refined_subtype_mean_gene_log2FC;top_refined_subtype_gene_direction_coherence;top_refined_subtype_hedges_g;top_refined_subtype_variance_sensitive_g;biological_priority;manuscript_claim_priority;refined_infection_outcome_relation	8			False
Figure_4	H	Figure_4H	TNFSF9-macrophage-Treg inflammation model	conceptual_rebuild	U26D_cellular_model	U26D2A1/U26D2C synthesis		conceptual_source_bundle	True	project://03_metadata/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_refined_all_QC_cell_annotations.tsv.gz	25.0	cell_id;raw_barcode;sample_id;condition;replicate;total_expression;detected_genes;mitochondrial_expression;pct_mitochondrial;adaptive_qc_pass;cluster;broad_cell_type;annotation_confidence;corrected_component_1;corrected_component_2;Treg_score;CD137L_macrophage_score;cycling_score;interferon_response_score;Treg_candidate;CD137L_high_macrophage_candidate;refined_broad_cell_type;refined_cell_subtype;FOXP3_log_normalized;IL2RA_log_normalized;CTLA4_log_normalized;TNFRSF18_log_normalized;IKZF2_log_normalized;TNFSF9_log_normalized;ADGRE1_log_normalized;LYZ2_log_normalized;CSF1R_log_normalized;CD68_log_normalized;strict_Treg_like_candidate;expanded_Treg_like_candidate;TNFSF9_positive_macrophage;TNFSF9_high_macrophage	8			False
Figure_5	A	Figure_5A	Independent endocrine/lipid infection effects	reuse_and_rebuild	U27A4_Figure_7A	U27A4 Figure 7A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	B	Figure_5B	Pregnancy endocrine/lipid effects	reuse_and_rebuild	U27A4_Figure_7B	U27A4 Figure 7B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	C	Figure_5C	Broad-cell endocrine/lipid localization	reuse_and_rebuild	U27A4_Figure_7C	U27A4 Figure 7C	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_5	D	Figure_5D	Steroid synthesis versus response branch map	table_driven_rebuild	U26C1_steroid_quadrant	U26C1 steroid branch summary	U26C1	conceptual_source_bundle	True	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	39.0	feature_id;axis;display_label;proposed_figure_family;n_independent_datasets;datasets;dataset_effects;n_positive_datasets;n_negative_datasets;dominant_direction;weighted_directional_coherence;median_effect;median_absolute_effect;max_absolute_effect;n_FDR10_datasets;n_moderate_effect_datasets;n_large_effect_datasets;validation_class;independent_evidence_priority_score;n_non_tiny_concordant_moderate_datasets;biological_priority;preterm_vs_term_effect;preterm_tissue_coherence;preterm_direction;infection_outcome_relation;refined_preterm_effect_class;refined_infection_outcome_relation;manuscript_claim_priority	8		project://03_metadata/phaseU26C1_interpretation_threshold_and_branch_refinement;project://05_results/phaseU26C1_interpretation_threshold_and_branch_refinement;project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement	True
Figure_5	E	Figure_5E	Pan-immune cholesterol-synthesis suppression	table_driven_rebuild	U26D2C_cholesterol	U26D2C broad reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_broad_effect_reliability.tsv	49.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			False
Figure_5	F	Figure_5F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	table_driven_rebuild	U26D2C_lipid_stress	U26D2C broad and subtype reliability	U26D2C	table_or_metadata_driven	True	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_subtype_effect_reliability.tsv	47.0	population_level;population;feature_id;display_label;axis;proposed_figure_family;requested_genes;detected_genes;coverage_fraction;score_eligible;mean_control_score;mean_UPEC_score;mean_difference_UPEC_minus_control;hedges_g_UPEC_vs_control;exact_permutation_p;module_mean_gene_log2FC;module_median_gene_log2FC;fraction_genes_positive_log2FC;fraction_genes_negative_log2FC;gene_direction_coherence;direction;exact_permutation_q_within_population;hedges_g_finite;variance_sensitive_hedges_g;cellular_evidence_class;cellular_localization_score;effect_direction	8			True
Figure_5	G	Figure_5G	Highest-support refined cellular subtypes	reuse_and_rebuild	U27A4_Figure_7D	U27A4 Figure 7D	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_7.png		True
Figure_6	A	Figure_6A	Independent adipokine/insulin/carbon effects	reuse_and_rebuild	U27A4_Figure_8A	U27A4 Figure 8A	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
Figure_6	B	Figure_6B	Pregnancy attenuation of leptin/IRS/PI3K-AKT	reuse_and_rebuild	U27A4_Figure_8B	U27A4 Figure 8B	U27A4	U27A4_visual_reference_plus_source_tables	True	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_visual_audit.tsv	37.0	figure;png_path;png_size_bytes;png_width_px;png_height_px;aspect_ratio;left_content_margin_fraction;top_content_margin_fraction;right_content_margin_fraction;bottom_content_margin_fraction;left_border_nonwhite_fraction;right_border_nonwhite_fraction;top_border_nonwhite_fraction;bottom_border_nonwhite_fraction;border_or_clipping_risk_flag;svg_path;svg_size_bytes;svg_width;svg_height;svg_viewbox;svg_parse_error;pdf_path;pdf_size_bytes	8	project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.svg;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.pdf;project://06_figures/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_Figure_8.png		True
