figure_number	final_figure	figure_title	panel	panel_key	panel_title	panel_title_source_column	source_id	construction_mode	primary_source	figure_png	figure_svg	figure_pdf	panel_crop	source_value_table
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	E	Figure_2E	Adjusted systemic inflammatory comparator	panel_title	U26B2B_GSE112098	table_driven_rebuild	GSE112098 adjusted results	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	F	Figure_2F	Gardnerella contextual effects and block separation	panel_title	U26B2B_GSE186800	table_driven_rebuild	GSE186800 averaged treatment and block effects	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
2	Figure_2	Cross-dataset infection effects, recurrent cores and contextual comparators	G	Figure_2G	Evidence-weighted concordance network	panel_title	U26B2B1_U26C_network	table_driven_rebuild	U26B2B1 recurrence and U26C network	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	A	Figure_3A	GSE280297 experimental and tissue design	panel_title	GSE280297_design	table_driven_rebuild	validated 60-sample design	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	B	Figure_3B	Preterm-versus-term effects by tissue	panel_title	U26B1_1_C1	table_driven_rebuild	U26B1.1 C1 primary results	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	C	Figure_3C	Cross-tissue receptor and metabolic attenuation	panel_title	U26B1_1_C1_concordance	table_driven_rebuild	U26B1.1 cross-tissue concordance	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	D	Figure_3D	Steroid synthesis-response decoupling	panel_title	U26C1_steroid_branching	table_driven_rebuild	U26C1 branch-selective steroid summary	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	E	Figure_3E	UPEC pregnancy versus PBS pregnancy	panel_title	U26B1_1_C2	table_driven_rebuild	U26B1.1 C2 results	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	F	Figure_3F	Pregnant versus nonpregnant infected bladder	panel_title	U26B1_1_C3	table_driven_rebuild	U26B1.1 C3 results	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	G	Figure_3G	Tissue-specific complement and inflammatory carbon	panel_title	U26B1_1_tissue_modules	table_driven_rebuild	U26B1.1 tissue heatmaps	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
3	Figure_3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	H	Figure_3H	Pregnancy-outcome working model	panel_title	U26C1_pregnancy_model	conceptual_rebuild	U26C1 refined pregnancy synthesis	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	A	Figure_4A	Balanced cellular embedding	panel_title	U26D2A_embedding	scripted_rebuild	U26D2A balanced cell annotations	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	B	Figure_4B	Cluster-marker validation and refined identities	panel_title	U26D2A_D2A1_markers	table_driven_rebuild	U26D2A top markers and U26D2A1 refinement	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	C	Figure_4C	Cell-type composition across four samples	panel_title	U26D2A1_composition	table_driven_rebuild	U26D2A1 refined composition	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	D	Figure_4D	Refined immune subtypes and states	panel_title	U26D2A1_subtypes	table_driven_rebuild	U26D2A1 subtype composition	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	E	Figure_4E	TNFSF9-positive and TNFSF9-high macrophages	panel_title	U26D2A1_TNFSF9	table_driven_rebuild	U26D2A1 fixed targeted populations	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	F	Figure_4F	Strict and expanded Treg-like fractions	panel_title	U26D2A1_Treg	table_driven_rebuild	U26D2A1 fixed targeted populations	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	G	Figure_4G	Sample-by-cell-type pseudobulk core localization	panel_title	U26D2C_core_localization	table_driven_rebuild	U26D2C core cellular attribution	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_G.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
4	Figure_4	Single-cell composition, immune states and cellular localization	H	Figure_4H	TNFSF9-macrophage-Treg inflammation model	panel_title	U26D_cellular_model	conceptual_rebuild	U26D2A1/U26D2C synthesis	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_H.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	A	Figure_5A	Independent endocrine/lipid infection effects	panel_title	U27A4_Figure_7A	reuse_and_rebuild	U27A4 Figure 7A	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_A.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	B	Figure_5B	Pregnancy endocrine/lipid effects	panel_title	U27A4_Figure_7B	reuse_and_rebuild	U27A4 Figure 7B	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_B.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	C	Figure_5C	Broad-cell endocrine/lipid localization	panel_title	U27A4_Figure_7C	reuse_and_rebuild	U27A4 Figure 7C	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_C.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	D	Figure_5D	Steroid synthesis versus response branch map	panel_title	U26C1_steroid_quadrant	table_driven_rebuild	U26C1 steroid branch summary	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_D.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	E	Figure_5E	Pan-immune cholesterol-synthesis suppression	panel_title	U26D2C_cholesterol	table_driven_rebuild	U26D2C broad reliability	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_E.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
5	Figure_5	Steroid, cholesterol and lipid-remodeling architecture	F	Figure_5F	Lipid-droplet, PPAR/SREBP/LXR and ferroptosis	panel_title	U26D2C_lipid_stress	table_driven_rebuild	U26D2C broad and subtype reliability	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5.pdf	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_5_panel_F.png	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_5_source_values.tsv
