final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	figure_number	figure_title	panel_title_source_column	figure_png	figure_svg	figure_pdf	source_value_table	panel_crop
Figure_2	E	Adjusted systemic inflammatory comparator	table_driven_rebuild	GSE112098 adjusted results	U26B2B_GSE112098	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2E	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_E.png
Figure_2	F	Gardnerella contextual effects and block separation	table_driven_rebuild	GSE186800 averaged treatment and block effects	U26B2B_GSE186800	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2F	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_F.png
Figure_2	G	Evidence-weighted concordance network	table_driven_rebuild	U26B2B1 recurrence and U26C network	U26B2B1_U26C_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2G	frozen	2	Cross-dataset infection effects, recurrent cores and contextual comparators	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_2_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_2_panel_G.png
Figure_3	A	GSE280297 experimental and tissue design	table_driven_rebuild	validated 60-sample design	GSE280297_design	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3A	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_A.png
Figure_3	B	Preterm-versus-term effects by tissue	table_driven_rebuild	U26B1.1 C1 primary results	U26B1_1_C1	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3B	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_B.png
Figure_3	C	Cross-tissue receptor and metabolic attenuation	table_driven_rebuild	U26B1.1 cross-tissue concordance	U26B1_1_C1_concordance	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3C	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_C.png
Figure_3	D	Steroid synthesis-response decoupling	table_driven_rebuild	U26C1 branch-selective steroid summary	U26C1_steroid_branching	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3D	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_D.png
Figure_3	E	UPEC pregnancy versus PBS pregnancy	table_driven_rebuild	U26B1.1 C2 results	U26B1_1_C2	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3E	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_E.png
Figure_3	F	Pregnant versus nonpregnant infected bladder	table_driven_rebuild	U26B1.1 C3 results	U26B1_1_C3	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3F	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_F.png
Figure_3	G	Tissue-specific complement and inflammatory carbon	table_driven_rebuild	U26B1.1 tissue heatmaps	U26B1_1_tissue_modules	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3G	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_G.png
Figure_3	H	Pregnancy-outcome working model	conceptual_rebuild	U26C1 refined pregnancy synthesis	U26C1_pregnancy_model	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3H	frozen	3	Pregnancy, tissue and outcome-associated endocrine-metabolic-complement remodeling	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_3_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_3_panel_H.png
Figure_4	A	Balanced cellular embedding	scripted_rebuild	U26D2A balanced cell annotations	U26D2A_embedding	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4A	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_A.png
Figure_4	B	Cluster-marker validation and refined identities	table_driven_rebuild	U26D2A top markers and U26D2A1 refinement	U26D2A_D2A1_markers	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4B	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_B.png
Figure_4	C	Cell-type composition across four samples	table_driven_rebuild	U26D2A1 refined composition	U26D2A1_composition	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4C	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_C.png
Figure_4	D	Refined immune subtypes and states	table_driven_rebuild	U26D2A1 subtype composition	U26D2A1_subtypes	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4D	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_D.png
Figure_4	E	TNFSF9-positive and TNFSF9-high macrophages	table_driven_rebuild	U26D2A1 fixed targeted populations	U26D2A1_TNFSF9	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4E	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_E.png
Figure_4	F	Strict and expanded Treg-like fractions	table_driven_rebuild	U26D2A1 fixed targeted populations	U26D2A1_Treg	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4F	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_F.png
Figure_4	G	Sample-by-cell-type pseudobulk core localization	table_driven_rebuild	U26D2C core cellular attribution	U26D2C_core_localization	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4G	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_G.png
Figure_4	H	TNFSF9-macrophage-Treg inflammation model	conceptual_rebuild	U26D2A1/U26D2C synthesis	U26D_cellular_model	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4H	frozen	4	Single-cell composition, immune states and cellular localization	panel_title	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.png	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.svg	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4.pdf	project://06_tables/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_Figure_4_source_values.tsv	project://06_figures/phaseU27B3A_complete_eight_figure_package_assembly/panel_crops/UTI_HostOmics_U27B3A_Figure_4_panel_H.png
