figure	panel	title	modules	purpose	feature_id	display_label	cellular_localization_class	top_broad_population	top_refined_subtype	cellular_evidence_summary
Figure_7	D	Mixed steroidogenic branch architecture	STEROIDOGENESIS_CORE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast lower steroid-synthesis branches with higher receptor-response programmes outside neutrophils.	ESTROGEN_RECEPTOR_RESPONSE	Estrogen receptor response	multi_compartment_contextual	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.762; high/moderate broad populations=3
Figure_7	D	Mixed steroidogenic branch architecture	STEROIDOGENESIS_CORE;ESTROGEN_BIOSYNTHESIS;ESTROGEN_RECEPTOR_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast lower steroid-synthesis branches with higher receptor-response programmes outside neutrophils.	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	coherent_pan_immune_higher_in_UPEC	dendritic	CD209A_CLEC10A_cDC2_like	median composite=0.527; high/moderate broad populations=4
Figure_7	E	Lipid-peroxidation and lipid-droplet remodeling	FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION	Distinguish inflammatory lipid storage/peroxidation from neutrophil-specific suppression of selected lipid programmes.	FERROPTOSIS_LIPID_PEROXIDATION	Ferroptosis-linked lipid peroxidation	multi_compartment_contextual	NK_cell	conventional_activated_T	median composite=0.659; high/moderate broad populations=3
Figure_7	E	Lipid-peroxidation and lipid-droplet remodeling	FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION	Distinguish inflammatory lipid storage/peroxidation from neutrophil-specific suppression of selected lipid programmes.	LIPID_DROPLET_DYNAMICS	Lipid-droplet dynamics	coherent_pan_immune_higher_in_UPEC	NK_cell	cytotoxic_NK	median composite=0.694; high/moderate broad populations=4
Figure_7	E	Lipid-peroxidation and lipid-droplet remodeling	FERROPTOSIS_LIPID_PEROXIDATION;LIPID_DROPLET_DYNAMICS;PPAR_SREBP_LXR_REGULATION	Distinguish inflammatory lipid storage/peroxidation from neutrophil-specific suppression of selected lipid programmes.	PPAR_SREBP_LXR_REGULATION	PPAR, SREBP and LXR regulation	myeloid_dominant	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	median composite=0.363; high/moderate broad populations=2
Figure_8	A	Leptin-PI3K/AKT cellular core	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING	Localize leptin predominantly to macrophage/monocyte and PI3K-AKT predominantly to dendritic responses.	LEPTIN_SIGNALING	Leptin signaling	multi_compartment_contextual	T_cell	XCR1_CLEC9A_cDC1_like	median composite=0.550; high/moderate broad populations=3
Figure_8	A	Leptin-PI3K/AKT cellular core	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING	Localize leptin predominantly to macrophage/monocyte and PI3K-AKT predominantly to dendritic responses.	PI3K_AKT_SIGNALING	PI3K-AKT signaling	multi_compartment_contextual	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.434; high/moderate broad populations=2
Figure_8	B	Insulin/IRS and glycogen response	INSULIN_RECEPTOR_IRS;GLYCOGEN_SYNTHESIS	Show coherent higher signaling across several immune populations with strong glycogen remodeling in neutrophils.	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	coherent_pan_immune_higher_in_UPEC	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.551; high/moderate broad populations=4
Figure_8	B	Insulin/IRS and glycogen response	INSULIN_RECEPTOR_IRS;GLYCOGEN_SYNTHESIS	Show coherent higher signaling across several immune populations with strong glycogen remodeling in neutrophils.	GLYCOGEN_SYNTHESIS	Glycogen synthesis	coherent_pan_immune_higher_in_UPEC	neutrophil	LY6C2_VCAN_inflammatory_monocyte	median composite=0.758; high/moderate broad populations=4
Figure_8	C	Inflammatory glycolysis	GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS	Demonstrate a broad inflammatory-carbon programme extending across lymphoid and myeloid populations.	GLYCOLYSIS	Glycolysis	multi_compartment_contextual	NK_cell	PF4_MRC1_C1Q_macrophage	median composite=0.502; high/moderate broad populations=2
Figure_8	C	Inflammatory glycolysis	GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS	Demonstrate a broad inflammatory-carbon programme extending across lymphoid and myeloid populations.	LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS	Lactate and HIF1A inflammatory glycolysis	coherent_pan_immune_higher_in_UPEC	T_cell	RETNLA_MRC1_reparative_macrophage	median composite=0.816; high/moderate broad populations=6
Figure_8	C	Inflammatory glycolysis	GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS	Demonstrate a broad inflammatory-carbon programme extending across lymphoid and myeloid populations.	RESISTIN_INFLAMMATORY_SIGNALING	Resistin-associated inflammatory signaling	coherent_pan_immune_higher_in_UPEC	dendritic	conventional_activated_T	median composite=0.875; high/moderate broad populations=5
Figure_8	C	Inflammatory glycolysis	GLYCOLYSIS;LACTATE_HIF1A_INFLAMMATORY_GLYCOLYSIS;RESISTIN_INFLAMMATORY_SIGNALING;ADIPOKINE_INFLAMMATORY_AXIS	Demonstrate a broad inflammatory-carbon programme extending across lymphoid and myeloid populations.	ADIPOKINE_INFLAMMATORY_AXIS	Inflammatory adipokine axis	coherent_pan_immune_higher_in_UPEC	cycling_immune	RETNLA_MRC1_reparative_macrophage	median composite=0.858; high/moderate broad populations=6
Figure_8	D	Cell-composition shift		Show neutrophil and macrophage expansion with relative T-cell, dendritic, NK-cell and cycling-immune contraction.						Composition or targeted-state panel; use U26D2A.1 and U26D2B effect tables.
Figure_9	A	Arginine-NO-urea cellular localization	ARGININE_NO_UREA;NITRIC_OXIDE_SYNTHESIS_REGULATION	Localize arginine-NO remodeling to dendritic and cycling-immune states while noting the neutrophil exception.	ARGININE_NO_UREA	Arginine, nitric oxide and urea coupling	coherent_pan_immune_higher_in_UPEC	macrophage_monocyte	C1Q_APOE_resident_macrophage	median composite=0.822; high/moderate broad populations=5
Figure_9	A	Arginine-NO-urea cellular localization	ARGININE_NO_UREA;NITRIC_OXIDE_SYNTHESIS_REGULATION	Localize arginine-NO remodeling to dendritic and cycling-immune states while noting the neutrophil exception.	NITRIC_OXIDE_SYNTHESIS_REGULATION	Nitric-oxide synthesis and regulation	coherent_pan_immune_higher_in_UPEC	cycling_immune	MKI67_TOP2A_cycling_immune	median composite=0.736; high/moderate broad populations=4
Figure_9	B	Purine-redox remodeling	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;OXIDATIVE_STRESS_NRF2_ANCHOR	Connect dendritic purine oxidation, T-cell purine salvage and cross-compartment oxidative-stress responses.	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM	Xanthine oxidase and oxidative purine catabolism	myeloid_dominant	dendritic	LY6C2_VCAN_inflammatory_monocyte	median composite=0.460; high/moderate broad populations=2
Figure_9	B	Purine-redox remodeling	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;OXIDATIVE_STRESS_NRF2_ANCHOR	Connect dendritic purine oxidation, T-cell purine salvage and cross-compartment oxidative-stress responses.	PURINE_SALVAGE	Purine salvage	coherent_pan_immune_higher_in_UPEC	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.537; high/moderate broad populations=4
Figure_9	B	Purine-redox remodeling	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;OXIDATIVE_STRESS_NRF2_ANCHOR	Connect dendritic purine oxidation, T-cell purine salvage and cross-compartment oxidative-stress responses.	PURINE_DEGRADATION_URATE	Purine degradation and urate	coherent_pan_immune_higher_in_UPEC	dendritic	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.604; high/moderate broad populations=4
Figure_9	B	Purine-redox remodeling	XANTHINE_OXIDASE_OXIDATIVE_PURINE_CATABOLISM;PURINE_SALVAGE;PURINE_DEGRADATION_URATE;OXIDATIVE_STRESS_NRF2_ANCHOR	Connect dendritic purine oxidation, T-cell purine salvage and cross-compartment oxidative-stress responses.	OXIDATIVE_STRESS_NRF2_ANCHOR	Oxidative stress and NRF2 anchor	coherent_pan_immune_higher_in_UPEC	dendritic	cytotoxic_NK	median composite=0.532; high/moderate broad populations=4
Figure_9	C	Amino-acid transport and selective suppression	AMINO_ACID_TRANSPORT;TRYPTOPHAN_KYNURENINE;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS	Separate dendritic amino-acid transport activation from lower neutrophil aromatic, tryptophan and branched-chain programmes.	AMINO_ACID_TRANSPORT	Amino-acid transport	multi_compartment_contextual	dendritic	cytotoxic_NK	median composite=0.733; high/moderate broad populations=3
Figure_9	C	Amino-acid transport and selective suppression	AMINO_ACID_TRANSPORT;TRYPTOPHAN_KYNURENINE;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS	Separate dendritic amino-acid transport activation from lower neutrophil aromatic, tryptophan and branched-chain programmes.	TRYPTOPHAN_KYNURENINE	Tryptophan-kynurenine metabolism	myeloid_dominant	neutrophil	IL1B_CXCL2_inflammatory_neutrophil	median composite=0.618; high/moderate broad populations=4
Figure_9	C	Amino-acid transport and selective suppression	AMINO_ACID_TRANSPORT;TRYPTOPHAN_KYNURENINE;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS	Separate dendritic amino-acid transport activation from lower neutrophil aromatic, tryptophan and branched-chain programmes.	AROMATIC_AMINO_ACID_METABOLISM	Aromatic amino-acid metabolism	coherent_pan_immune_lower_in_UPEC	neutrophil	CD83_CLEC10A_activated_dendritic	median composite=0.903; high/moderate broad populations=6
Figure_9	C	Amino-acid transport and selective suppression	AMINO_ACID_TRANSPORT;TRYPTOPHAN_KYNURENINE;AROMATIC_AMINO_ACID_METABOLISM;BRANCHED_CHAIN_AMINO_ACIDS	Separate dendritic amino-acid transport activation from lower neutrophil aromatic, tryptophan and branched-chain programmes.	BRANCHED_CHAIN_AMINO_ACIDS	Branched-chain amino-acid metabolism	myeloid_dominant	neutrophil	PF4_MRC1_C1Q_macrophage	median composite=0.270; high/moderate broad populations=3
Figure_10	A	C3a/C5a inflammatory complement	COMPLEMENT_C3A_C5A_SIGNALING	Show coherent higher signaling across all complete broad immune populations with a dendritic maximum.	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	coherent_pan_immune_higher_in_UPEC	dendritic	XCR1_CLEC9A_cDC1_like	median composite=0.836; high/moderate broad populations=6
Figure_10	B	Opsonophagocytic complement	COMPLEMENT_OPSONOPHAGOCYTOSIS	Show a modest dendritic-localized increase rather than universal opsonophagocytic activation.	COMPLEMENT_OPSONOPHAGOCYTOSIS	Complement-opsonophagocytosis	myeloid_dominant	dendritic	CD83_CLEC10A_activated_dendritic	median composite=0.215; high/moderate broad populations=1
Figure_10	C	Complement branch divergence	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	Contrast dendritic-positive complement branches with lower T-cell/neutrophil branches and cycling-immune coagulation-linked responses.	COMPLEMENT_CLASSICAL	Classical complement pathway	myeloid_dominant	dendritic	PF4_MRC1_C1Q_macrophage	median composite=0.375; high/moderate broad populations=1
Figure_10	C	Complement branch divergence	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	Contrast dendritic-positive complement branches with lower T-cell/neutrophil branches and cycling-immune coagulation-linked responses.	COMPLEMENT_ALTERNATIVE	Alternative complement pathway	multi_compartment_contextual	neutrophil	cytotoxic_NK	median composite=0.562; high/moderate broad populations=0
Figure_10	C	Complement branch divergence	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	Contrast dendritic-positive complement branches with lower T-cell/neutrophil branches and cycling-immune coagulation-linked responses.	COMPLEMENT_C3_CONVERTASE_AMPLIFICATION	C3 convertase and amplification	multi_compartment_contextual	dendritic	CD209A_CLEC10A_cDC2_like	median composite=0.539; high/moderate broad populations=2
Figure_10	C	Complement branch divergence	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	Contrast dendritic-positive complement branches with lower T-cell/neutrophil branches and cycling-immune coagulation-linked responses.	COMPLEMENT_COAGULATION_CROSSTALK	Complement-coagulation crosstalk	coherent_pan_immune_higher_in_UPEC	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.773; high/moderate broad populations=5
Figure_10	C	Complement branch divergence	COMPLEMENT_CLASSICAL;COMPLEMENT_ALTERNATIVE;COMPLEMENT_C3_CONVERTASE_AMPLIFICATION;COMPLEMENT_COAGULATION_CROSSTALK;COMPLEMENT_REGULATORS	Contrast dendritic-positive complement branches with lower T-cell/neutrophil branches and cycling-immune coagulation-linked responses.	COMPLEMENT_REGULATORS	Complement regulators	cycling_immune_dominant	cycling_immune	C1Q_APOE_resident_macrophage	median composite=0.379; high/moderate broad populations=1
Figure_10	D	TNFSF9-positive macrophage expansion		Integrate fixed TNFSF9-positive/high macrophage fractions with macrophage abundance and complement signaling.						Composition or targeted-state panel; use U26D2A.1 and U26D2B effect tables.
Figure_11	A	UPEC cellular-remodeling overview		Summarize neutrophil/macrophage expansion, lymphoid contraction and targeted Treg-like/TNFSF9-high states.						Composition or targeted-state panel; use U26D2A.1 and U26D2B effect tables.
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	TLR4_LPS_SIGNALING_ANCHOR	TLR4-LPS signaling anchor	lymphoid_dominant	T_cell	conventional_activated_T	median composite=0.245; high/moderate broad populations=2
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	NFKB_MAPK_INFLAMMATION_ANCHOR	NF-kB and MAPK inflammation anchor	coherent_pan_immune_higher_in_UPEC	dendritic	conventional_activated_T	median composite=0.803; high/moderate broad populations=5
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	LEPTIN_SIGNALING	Leptin signaling	multi_compartment_contextual	T_cell	XCR1_CLEC9A_cDC1_like	median composite=0.550; high/moderate broad populations=3
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	PI3K_AKT_SIGNALING	PI3K-AKT signaling	multi_compartment_contextual	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.434; high/moderate broad populations=2
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	COMPLEMENT_C3A_C5A_SIGNALING	C3a and C5a inflammatory signaling	coherent_pan_immune_higher_in_UPEC	dendritic	XCR1_CLEC9A_cDC1_like	median composite=0.836; high/moderate broad populations=6
Figure_11	B	Cell-source-resolved mechanistic network	TLR4_LPS_SIGNALING_ANCHOR;NFKB_MAPK_INFLAMMATION_ANCHOR;LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;COMPLEMENT_C3A_C5A_SIGNALING;NEUTROPHIL_NETOSIS_ANCHOR	Assign dendritic, macrophage, neutrophil and lymphoid sources to the integrated inflammatory-metabolic network.	NEUTROPHIL_NETOSIS_ANCHOR	Neutrophil and NETosis anchor	coherent_pan_immune_higher_in_UPEC	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.906; high/moderate broad populations=6
Figure_11	C	Infection-versus-pregnancy state contrast	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast higher UPEC immune-cell signaling with attenuation in preterm-associated pregnancy tissues.	LEPTIN_SIGNALING	Leptin signaling	multi_compartment_contextual	T_cell	XCR1_CLEC9A_cDC1_like	median composite=0.550; high/moderate broad populations=3
Figure_11	C	Infection-versus-pregnancy state contrast	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast higher UPEC immune-cell signaling with attenuation in preterm-associated pregnancy tissues.	PI3K_AKT_SIGNALING	PI3K-AKT signaling	multi_compartment_contextual	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.434; high/moderate broad populations=2
Figure_11	C	Infection-versus-pregnancy state contrast	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast higher UPEC immune-cell signaling with attenuation in preterm-associated pregnancy tissues.	INSULIN_RECEPTOR_IRS	Insulin receptor and IRS signaling	coherent_pan_immune_higher_in_UPEC	T_cell	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.551; high/moderate broad populations=4
Figure_11	C	Infection-versus-pregnancy state contrast	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast higher UPEC immune-cell signaling with attenuation in preterm-associated pregnancy tissues.	GLUCOCORTICOID_RESPONSE	Glucocorticoid response	coherent_pan_immune_higher_in_UPEC	cycling_immune	IL2RA_TNFRSF18_regulatory_type2_like_T	median composite=0.840; high/moderate broad populations=5
Figure_11	C	Infection-versus-pregnancy state contrast	LEPTIN_SIGNALING;PI3K_AKT_SIGNALING;INSULIN_RECEPTOR_IRS;GLUCOCORTICOID_RESPONSE;ANDROGEN_RECEPTOR_SIGNALING	Contrast higher UPEC immune-cell signaling with attenuation in preterm-associated pregnancy tissues.	ANDROGEN_RECEPTOR_SIGNALING	Androgen receptor signaling	coherent_pan_immune_higher_in_UPEC	dendritic	CD209A_CLEC10A_cDC2_like	median composite=0.527; high/moderate broad populations=4
Figure_11	D	Evidence hierarchy and limitations		Separate human adjusted-FDR evidence, independent directional support, pregnancy discovery effects and n=2-versus-n=2 cellular localization.						Composition or targeted-state panel; use U26D2A.1 and U26D2B effect tables.
