final_figure	panel	panel_title	construction_mode	primary_source	source_id	final_figure_title	planned_panels	primary_message	panel_key	architecture_status	source_role	locked_path	lock_status
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26A2_GSE280297_identifier_design_resolution/UTI_HostOmics_U26A2_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26A3_GSE280297_explicit_source_metadata_reconstruction/UTI_HostOmics_U26A3_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26A4_GSE280297_established_asset_validation/UTI_HostOmics_U26A4_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26A5_GSE280297_final_input_resolution/UTI_HostOmics_U26A5_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B2A1_cross_dataset_input_repair/UTI_HostOmics_U26B2A1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B2A_cross_dataset_input_preparation/UTI_HostOmics_U26B2A_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26C_biological_synthesis_figure_architecture/UTI_HostOmics_U26C_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D1A_GSE252321_flat_matrix_validation/UTI_HostOmics_U26D1A_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D1_GSE252321_singlecell_asset_audit/UTI_HostOmics_U26D1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A1_figure_visual_quality_audit/UTI_HostOmics_U27A1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A2_journal_width_figure_repair/UTI_HostOmics_U27A2_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A31_visual_diversity_layout_repair/UTI_HostOmics_U27A31_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A32_final_title_spacing_repair/UTI_HostOmics_U27A32_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A3_visual_diversity_redesign/UTI_HostOmics_U27A3_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A4_final_visual_audit/UTI_HostOmics_U27A4_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27A_build_figures_7_to_11/UTI_HostOmics_U27A_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27B11_legacy_source_confirmation_resolution/UTI_HostOmics_U27B11_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27B1_architecture_freeze_and_asset_mapping/UTI_HostOmics_U27B1_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	E	Analytical workflow	conceptual_rebuild	phase decisions U26A-U27A4	phase_workflow_manifest	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1E	frozen	phase_decision_bundle	project://06_tables/phaseU27B2A_panel_source_and_schema_resolution/UTI_HostOmics_U27B2A_phase_decision.tsv	LOCKED_BUNDLE
Figure_1	F	Evidence hierarchy	table_driven_rebuild	U26C1 refined core and claim priorities	U26C1_evidence_tiers	Study architecture, datasets and evidence framework	6	The study integrates cross-dataset infection biology, pregnancy outcome, endocrine-metabolic modules and cell-resolved validation under an explicit evidence hierarchy.	Figure_1F	frozen	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	LOCKED_U27B2C2B_FULL_EVIDENCE_HIERARCHY
Figure_2	A	One independent infection-context effect per dataset	table_driven_rebuild	U26B2B1 primary independent effects	U26B2B1_primary_effects	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2A	frozen	primary_independent_effects	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_primary_independent_dataset_effects.tsv	LOCKED_EXPLICIT_REPAIR
Figure_2	B	Robust, provisional, secondary and divergent modules	table_driven_rebuild	U26B2B1 evidence classes	U26B2B1_classification	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2B	frozen	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	LOCKED_EXACT_RULE
Figure_2	C	TLR4-leptin-PI3K/AKT core	table_driven_rebuild	U26C1 refined synthesis	U26C1_core_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2C	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_2	D	Provisional complement core	table_driven_rebuild	U26C1 complement priorities	U26C1_complement_core	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2D	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_2	E	Adjusted systemic inflammatory comparator	table_driven_rebuild	GSE112098 adjusted results	U26B2B_GSE112098	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2E	frozen	gse112098_adjusted	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE112098_age_sex_adjusted_results.tsv	LOCKED_EXACT_RULE
Figure_2	F	Gardnerella contextual effects and block separation	table_driven_rebuild	GSE186800 averaged treatment and block effects	U26B2B_GSE186800	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2F	frozen	gse186800_factorial	project://06_tables/phaseU26B2B_cross_dataset_scoring_integration/UTI_HostOmics_U26B2B_GSE186800_factorial_results.tsv	LOCKED_EXACT_RULE
Figure_2	G	Evidence-weighted concordance network	table_driven_rebuild	U26B2B1 recurrence and U26C network	U26B2B1_U26C_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2G	frozen	recurrence_ranking	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_independent_dataset_recurrence_ranking.tsv	LOCKED_EXACT_RULE
Figure_2	G	Evidence-weighted concordance network	table_driven_rebuild	U26B2B1 recurrence and U26C network	U26B2B1_U26C_network	Cross-dataset infection-response core	7	A TLR4-linked leptin/PI3K-AKT core is supported across independent infection contexts, with provisional complement support.	Figure_2G	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_3	A	GSE280297 experimental and tissue design	table_driven_rebuild	validated 60-sample design	GSE280297_design	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3A	frozen	gse280297_design	project://03_metadata/phaseU26A5_GSE280297_final_input_resolution/GSE280297_U26A5_validated_60sample_design.tsv	LOCKED_EXACT_RULE
Figure_3	B	Preterm-versus-term effects by tissue	table_driven_rebuild	U26B1.1 C1 primary results	U26B1_1_C1	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3B	frozen	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	LOCKED_U27B2C2A_FULL_GSE280297_REPAIR
Figure_3	C	Cross-tissue receptor and metabolic attenuation	table_driven_rebuild	U26B1.1 cross-tissue concordance	U26B1_1_C1_concordance	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3C	frozen	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	LOCKED_EXACT_RULE
Figure_3	D	Steroid synthesis-response decoupling	table_driven_rebuild	U26C1 branch-selective steroid summary	U26C1_steroid_branching	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3D	frozen	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	LOCKED_EXACT_RULE
Figure_3	E	UPEC pregnancy versus PBS pregnancy	table_driven_rebuild	U26B1.1 C2 results	U26B1_1_C2	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3E	frozen	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	LOCKED_U27B2C2A_FULL_GSE280297_REPAIR
Figure_3	F	Pregnant versus nonpregnant infected bladder	table_driven_rebuild	U26B1.1 C3 results	U26B1_1_C3	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3F	frozen	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	LOCKED_U27B2C2A_FULL_GSE280297_REPAIR
Figure_3	G	Tissue-specific complement and inflammatory carbon	table_driven_rebuild	U26B1.1 tissue heatmaps	U26B1_1_tissue_modules	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3G	frozen	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	LOCKED_EXACT_RULE
Figure_3	G	Tissue-specific complement and inflammatory carbon	table_driven_rebuild	U26B1.1 tissue heatmaps	U26B1_1_tissue_modules	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3G	frozen	gse280297_primary_matrix	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	LOCKED_U27B2C2A_FULL_GSE280297_REPAIR
Figure_3	H	Pregnancy-outcome working model	conceptual_rebuild	U26C1 refined pregnancy synthesis	U26C1_pregnancy_model	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3H	frozen	cross_tissue_coherence	project://06_tables/phaseU26B1_1_GSE280297_stability_refinement/UTI_HostOmics_U26B1_1_cross_tissue_directional_coherence.tsv	LOCKED_EXACT_RULE
Figure_3	H	Pregnancy-outcome working model	conceptual_rebuild	U26C1 refined pregnancy synthesis	U26C1_pregnancy_model	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3H	frozen	decoupling_domains	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_decoupling_domains.tsv	LOCKED_EXACT_RULE
Figure_3	H	Pregnancy-outcome working model	conceptual_rebuild	U26C1 refined pregnancy synthesis	U26C1_pregnancy_model	Pregnancy-, tissue- and outcome-resolved UTI remodeling	8	Pregnancy-associated UTI remodeling is tissue-specific and branch-selective rather than a global steroid-metabolic shift.	Figure_3H	frozen	refined_core	project://06_tables/phaseU26C1_interpretation_threshold_and_branch_refinement/UTI_HostOmics_U26C1_refined_core_and_secondary_modules.tsv	LOCKED_EXACT_RULE
Figure_4	A	Balanced cellular embedding	scripted_rebuild	U26D2A balanced cell annotations	U26D2A_embedding	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4A	frozen	balanced_annotations	project://03_metadata/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_balanced_cell_annotations.tsv.gz	LOCKED_EXACT_RULE
Figure_4	B	Cluster-marker validation and refined identities	table_driven_rebuild	U26D2A top markers and U26D2A1 refinement	U26D2A_D2A1_markers	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4B	frozen	cluster_markers	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	LOCKED_EXACT_RULE
Figure_4	B	Cluster-marker validation and refined identities	table_driven_rebuild	U26D2A top markers and U26D2A1 refinement	U26D2A_D2A1_markers	Single-cell immune ecosystem and the TNFSF9-Treg axis	8	UPEC induces myeloid expansion while TNFSF9-positive macrophage, Treg-like and pathway programs remain distributed across multiple immune states.	Figure_4B	frozen	refinement_map	project://06_tables/phaseU26D2A1_GSE252321_annotation_refinement/UTI_HostOmics_U26D2A1_cluster_annotation_refinement.tsv	LOCKED_EXACT_RULE
