paragraph_index	style	text_length	is_blank	text
34	Normal	425	False	Four flat gene-by-cell matrices from GSE252321 were processed independently. Of 28,313 cells, 27,385 passed quality control. Marker-based clustering resolved 18 clusters, which were consolidated into six broad immune populations and 14 refined subtypes. Refined labels included LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells.
35	Normal	310	False	Strict Treg-like cells required FOXP3 plus at least one of IL2RA, CTLA4 or TNFRSF18. The expanded Treg-like definition required FOXP3 or at least two supporting markers. TNFSF9-positive macrophages were defined by detectable expression, and TNFSF9-high cells used the prespecified pooled threshold of 2.208856.
36	Heading 2	53	False	Cell-type pseudobulk scoring and cellular attribution
37	Normal	356	False	Broad and refined cell populations were aggregated into sample-aware pseudobulks. Seventy-three modules were score-eligible in the single-cell layer. Cellular attribution integrated module-mean gene log2 fold change, directional coherence and bounded support scores rather than relying on unstable large standardized effects from the n=2 versus n=2 design.
38	Normal	241	False	Because the single-cell experiment contained two control and two UPEC biological samples, composition and localization analyses were descriptive and hypothesis-generating. The minimum attainable exact two-sided permutation p-value was 0.333.
39	Heading 2	35	False	Figure assembly and reproducibility
40	Normal	309	False	All analyses, source locks, figure builds, visual audits and manuscript transformations were implemented reproducibly under the project directory project:. Executable scripts are stored under 10_scripts/. Figures 1-8 were frozen after source-value, checksum, panel-count and visual audits.
41	Heading 1	7	False	Results
42	Heading 2	81	False	An expanded multi-context atlas establishes the analytical and evidence framework
43	Normal	988	False	We assembled a multi-context host-response atlas spanning a human urinary/systemic inflammatory comparator (GSE112098; n=73), a mouse pregnancy-associated UTI model sampled across bladder, placenta and uterus (GSE280297; n=60 tissue samples), a mouse recurrent or prior-exposure bladder model (GSE186800; n=20), and a four-sample single-cell UPEC experiment (GSE252321). The analytical framework comprised 78 curated submodules distributed across ten biological axes, including steroid-cholesterol-endocrine biology, lipid metabolism, adipokine and insulin/IRS signaling, inflammatory carbon metabolism, amino-acid metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, immune-context anchors and stress-adjacent signaling. Each dataset was analyzed independently in its native species and tissue context, and cross-study integration was performed using signed standardized effects, recurrence and directional concordance rather than pooled raw expression (Figure 1A-E).
44	Normal	601	False	The evidence framework separated modules with recurrent cross-dataset concordance from provisional effects supported by one false-discovery-rate-qualified dataset plus independent directional support, context-divergent effects, and modules with limited independent evidence. This hierarchy was used throughout the atlas to distinguish reproducible host-response architecture from biologically plausible but context-sensitive signals. The cellular scoring layer retained 73 score-eligible modules and was interpreted as localization evidence rather than as an additional independent cohort (Figure 1F).
45	Heading 2	77	False	Independent datasets identify a recurrent TLR4-leptin-PI3K-AKT infection core
46	Normal	595	False	Independent analysis of the eligible infection contrasts identified a recurrent signaling core centered on TLR4-LPS sensing, leptin signaling and PI3K-AKT activity. These modules showed the most consistent positive infection-associated direction across the independently analyzed datasets. Insulin receptor/IRS signaling, glycogen synthesis and inflammatory-carbon programs contributed additional support, but their magnitudes and recurrence varied across models, consistent with context-dependent metabolic engagement rather than a uniform response across all tissues and species (Figure 2A-C).
47	Normal	666	False	The adjusted human comparator and the mouse factorial contrasts further separated recurrent from context-specific biology. TLR4-LPS, leptin and PI3K-AKT retained the clearest cross-dataset support, whereas several endocrine, lipid, carbon-use and immune-effector modules were prominent only in particular models. Evidence-weighted concordance therefore captured shared direction without assuming equivalent effect magnitude or identical mechanism across datasets. Complement C3a/C5a signaling and opsonophagocytosis also recurred across contexts, but these were retained as provisional core features because independent sample support was more limited (Figure 2D-G).
48	Heading 2	78	False	Pregnancy-associated UTI shows tissue-specific and branch-selective remodeling
49	Normal	664	False	The GSE280297 design resolved mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC states across bladder, placenta and uterus. This architecture enabled separate evaluation of preterm-versus-term outcome effects, UPEC-versus-PBS effects during pregnancy and pregnant-versus-nonpregnant bladder effects. No broad pregnancy-wide false-discovery-rate signal was detected; accordingly, the pregnancy analyses were interpreted through effect size, tissue coherence and branch-level biological organization rather than through a claim of global significance. Tissue samples were retained as the inferential units because dam identifiers were unavailable (Figure 3A-C).
50	Normal	643	False	Within the preterm-versus-term comparison, steroid biology was characterized by synthesis-response decoupling rather than uniform activation or suppression. Core steroidogenesis and androgen/testosterone biosynthesis tended to shift positively, whereas estrogen biosynthesis/interconversion and cholesterol-biosynthetic programs tended to shift negatively. Broad receptor-response and metabolic-effector domains were comparatively attenuated. The resulting pattern supports a branch-selective pregnancy-associated reorganization in which steroid synthesis or transformation can diverge from downstream cellular response programs (Figure 3D-F).
51	Normal	552	False	Complement and inflammatory-carbon biology was likewise branch-selective. C3a/C5a signaling, opsonophagocytosis, complement regulation, coagulation crosstalk and carbon-use programs differed across tissues and contrasts rather than moving as a single coordinated pathway. These findings define a tissue- and outcome-dependent pregnancy model in which UPEC-associated innate sensing and complement activation intersect with endocrine and metabolic remodeling, while remaining exploratory in the absence of broad pregnancy-wide FDR support (Figure 3G,H).
52	Heading 2	86	False	Single-cell reconstruction localizes recurrent modules to specific immune compartments
53	Normal	609	False	The four GSE252321 samples contained 28,313 cells, of which 27,385 passed quality control. Marker-based reconstruction resolved 18 clusters that were consolidated into six broad immune populations and 14 refined subtypes, including LY6C2-VCAN inflammatory monocytes, RETNLA-MRC1 reparative macrophages, CD83-CLEC10A activated dendritic cells and MKI67-TOP2A cycling immune cells. Because the biological design comprised two control and two UPEC samples, all composition and localization results were treated as descriptive biological-replicate summaries rather than cell-level independent tests (Figure 4A-D).
54	Normal	546	False	UPEC exposure was associated with a larger neutrophil fraction (difference, +0.210) and macrophage/monocyte fraction (+0.097), accompanied by lower T-cell (-0.132), dendritic-cell (-0.103), cycling-immune (-0.036), NK-cell (-0.025) and mast-cell (-0.010) fractions. Within T cells, the strict Treg-like fraction increased from 0.017 in controls to 0.083 in UPEC samples. Within macrophage/monocytes, the TNFSF9-positive fraction increased from 0.171 to 0.304, and the prespecified TNFSF9-high fraction increased from 0.037 to 0.080 (Figure 4C-F).
55	Normal	820	False	Cell-type pseudobulk scoring localized the recurrent modules to distinct immune compartments. C3a/C5a signaling showed coherent pan-immune support with strongest localization to dendritic and cDC1-like states; glycogen synthesis was broadly coherent and strongest in neutrophils or inflammatory monocytes; IRS signaling was strongest in T-cell and regulatory-like T-cell compartments; androgen-receptor signaling was strongest in dendritic and cDC2-like states; and TLR4-LPS signaling showed a lymphoid-weighted pattern with strongest refined support in activated T cells. Opsonophagocytosis was predominantly myeloid and strongest in activated dendritic cells. These localizations are hypothesis-generating: with n=2 samples per group, the minimum attainable exact two-sided permutation p-value was 0.333 (Figure 4G,H).
56	Heading 2	72	False	Steroid, cholesterol and lipid programs separate synthesis from response
57	Normal	629	False	Focused endocrine analysis confirmed that the pregnancy-associated steroid pattern was organized across distinct branches rather than along a single activation axis. Steroidogenesis, androgen/testosterone synthesis, estrogen synthesis and interconversion, cholesterol biosynthesis and handling, and androgen, estrogen and glucocorticoid response programs displayed different directions across infection, pregnancy and tissue contexts. The infection-versus-pregnancy comparison consequently separated synthesis-associated effects from receptor-response effects and reinforced the synthesis-response decoupling model (Figure 5A-D).
58	Normal	778	False	Cellular localization added a compartmental dimension to this endocrine architecture. Androgen-receptor signaling showed broad immune support with strongest refined localization in cDC2-like cells, whereas cholesterol and lipid-regulatory programs varied among dendritic, macrophage/monocyte, neutrophil, lymphoid and cycling compartments. Lipid-droplet dynamics, PPAR/SREBP/LXR regulation, ferroptosis-linked lipid peroxidation, fatty-acid synthesis and beta-oxidation, phospholipid metabolism, sphingolipid/ceramide metabolism and eicosanoid/prostaglandin metabolism were context dependent. Fatty-acid synthesis was especially branch divergent, with strongest broad support in cycling immune cells and strongest refined support in regulatory/type-2-like T cells (Figure 5E-G).
59	Heading 2	83	False	Adipokine, insulin and metabolic programs define a broader immunometabolic response
60	Normal	672	False	The focused immunometabolic analysis positioned leptin, insulin receptor/IRS and PI3K-AKT signaling at the interface between innate sensing and metabolic adaptation. Leptin and PI3K-AKT were recurrently positive in infection contexts but attenuated in the preterm-versus-term comparison, whereas IRS signaling showed broad cellular coherence with strongest localization in T-cell and regulatory-like T-cell compartments. The integrated topology therefore supports coordinated, context-dependent coupling among adipokine signaling, insulin-response machinery, TLR4-LPS sensing and downstream carbon-use programs, without establishing a direct causal sequence (Figure 6A-E).
61	Normal	544	False	Transcriptionally inferred carbon-use programs included glycolysis, lactate/HIF1A signaling, glycogen synthesis, pentose-phosphate activity, gluconeogenic and tricarboxylic-acid-cycle modules. Glycogen synthesis showed coherent pan-immune support, with strongest broad localization in neutrophils and strongest refined localization in inflammatory monocytes. The remaining carbon programs varied across pregnancy, tissue and infection contrasts, indicating flexible pathway deployment rather than a single universal metabolic state (Figure 6F).
62	Normal	707	False	Amino-acid, nitrogen, nucleotide and redox modules extended this metabolic architecture. Amino-acid transport was context dependent, with strongest broad localization in dendritic cells and strongest refined localization in cytotoxic NK cells. Arginine/nitric-oxide and urea-cycle biology, glutamine and tryptophan metabolism, methionine/SAM and serine/glycine/one-carbon pathways, purine and pyrimidine metabolism, NAD biology, xanthine-oxidase-linked oxidative purine catabolism and NRF2-redox programs all showed contrast-specific remodeling. These modules represent transcriptionally inferred pathway activity and do not measure metabolite concentrations, reaction rates or metabolic flux (Figure 6G,H).
63	Heading 2	68	False	Complement remodeling is branch-selective and cell-context dependent
64	Normal	580	False	Complement-specific reconstruction resolved classical, lectin and alternative initiation, C3 convertase and amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology, complement regulation and coagulation crosstalk. The branches differed across independent infection and pregnancy contrasts, arguing against a simple global complement activation model. C3a/C5a signaling and opsonophagocytosis provided the most recurrent cross-context support, although both remained provisional where independent sample support was limited (Figure 7A,B,E,F).
65	Normal	634	False	Cellular attribution further separated inflammatory and effector branches. C3a/C5a signaling was broadly distributed and strongest in dendritic or cDC1-like states, whereas opsonophagocytosis was myeloid weighted and strongest in activated dendritic cells. Seven of nine complement modules had eligible cell-level support; lectin-pathway and terminal membrane-attack-complex modules were not represented in the cell-level matrix and should therefore be considered unavailable rather than biologically absent. The resulting complement architecture links branch-specific tissue effects to distinct cellular compartments (Figure 7C,D,G).
66	Heading 2	79	False	Integrated evidence separates recurrent, provisional and contextual UTI biology
67	Normal	579	False	Across the complete atlas, UPEC/TLR4 signaling converged with leptin-IRS-PI3K/AKT activity, complement and opsonophagocytosis, steroid and lipid branching, and carbon, nitrogen and redox remodeling. These programs were distributed across expanded neutrophil and macrophage/monocyte compartments, activated dendritic states, lymphoid signaling niches, TNFSF9-positive macrophages and regulatory-inflammatory Treg-like states. Pregnancy and tissue context altered the relative balance among these branches rather than creating a single uniformly activated host state (Figure 8A-E).
68	Normal	729	False	The final evidence model therefore distinguishes a robust recurrent core from provisional and context-divergent biology. TLR4-LPS, leptin and PI3K-AKT constitute the strongest recurrent infection-associated framework; complement C3a/C5a signaling and opsonophagocytosis remain provisional recurrent features; pregnancy-associated steroid biology is best described as branch-selective synthesis-response decoupling; and the single-cell layer localizes these programs without overcoming the limited biological replication. The integrated network is an evidence-weighted synthesis rather than a direct causal model, and all metabolic interpretations refer to transcriptionally inferred pathway activity rather than flux (Figure 8F).
69	Heading 1	10	False	Discussion
70	Heading 2	18	False	Principal findings
71	Normal	346	False	The integrated atlas identifies a recurrent UTI host-response core centered on TLR4-LPS sensing, leptin signaling and PI3K-AKT activity. Around this core, insulin/IRS, glycogen and inflammatory-carbon programs varied by model, indicating that recurrent direction does not imply uniform magnitude or identical mechanism across tissues and species.
72	Normal	441	False	Pregnancy-associated UTI produced a distinct branch-selective architecture. Steroidogenesis and androgen/testosterone synthesis could diverge from estrogen, cholesterol-biosynthetic, receptor-response and metabolic-effector programs, while complement and inflammatory-carbon branches varied across tissues and outcomes. This pattern is more consistent with synthesis-response decoupling than with a single globally activated endocrine state.
73	Heading 2	35	False	Recurrent innate-metabolic coupling
74	Normal	488	False	The recurrence of TLR4, leptin and PI3K-AKT across independently analyzed contexts suggests a coordinated interface between microbial sensing and metabolic adaptation. Leptin and insulin-response pathways can influence immune-cell activation, survival and substrate handling, while PI3K-AKT integrates receptor-proximal signals with downstream metabolic and inflammatory programs. The present data support coordinated directional association but do not establish a direct causal sequence.
75	Heading 2	38	False	Pregnancy steroid and lipid remodeling
76	Normal	565	False	The pregnancy results emphasize that steroid biology should be decomposed into synthesis, interconversion, transport and receptor-response layers. A positive shift in steroidogenic or androgen-associated transcription does not necessarily imply increased downstream hormone action, and reduced estrogen or cholesterol-biosynthetic activity in one tissue does not define the entire maternal-fetal system. These findings motivate direct measurement of steroid intermediates, aromatization, receptor activity and tissue-specific hormone availability in future studies.
77	Heading 2	41	False	Complement branching and cellular context
78	Normal	457	False	Complement initiation, amplification, C3a/C5a signaling, opsonophagocytosis, terminal membrane-attack-complex biology and regulatory/coagulation crosstalk did not move as a single unit. C3a/C5a signaling localized broadly, with strong dendritic and cDC1-like support, whereas opsonophagocytosis was more myeloid weighted and strongest in activated dendritic cells. These recurrent observations remain provisional where independent sample support is limited.
79	Heading 2	31	False	Cell-resolved immune remodeling
80	Normal	510	False	UPEC-associated expansion of neutrophil and macrophage/monocyte fractions, together with higher strict Treg-like and TNFSF9-positive macrophage fractions, suggests that infection alters both effector composition and regulatory-inflammatory states. The localization of IRS signaling to T-cell and regulatory-like compartments, androgen-receptor activity to dendritic states and TLR4-LPS signaling to activated lymphoid states further argues against assigning bulk pathway effects to a single dominant cell type.
81	Heading 2	30	False	Immunometabolic interpretation
82	Normal	392	False	Carbon, amino-acid, nucleotide, NAD and redox modules displayed context-specific remodeling. Glycogen synthesis showed coherent cellular support, whereas fatty-acid synthesis, amino-acid transport and several nitrogen or redox pathways were branch divergent. These patterns identify candidate metabolic programs but remain transcriptional inferences rather than biochemical flux measurements.
83	Heading 2	11	False	Limitations
84	Normal	254	False	The study is limited by heterogeneity in species, tissue, platform and experimental design. Cross-dataset integration therefore used standardized module effects and directional concordance rather than merged expression or direct gene-level meta-analysis.
85	Normal	245	False	Pregnancy analyses did not show broad pregnancy-wide false-discovery-rate support. Tissue samples were the inferential units because dam identifiers were unavailable, preventing maternal-level clustering or causal attribution to preterm outcome.
86	Normal	316	False	The GSE252321 single-cell layer contained two control and two UPEC biological samples. Cellular composition and localization are descriptive, and the minimum exact two-sided permutation p-value was 0.333. Large standardized effects in this setting can be variance artifacts and were not used as stand-alone evidence.
87	Normal	236	False	Transcriptomic metabolic modules indicate inferred pathway activity and cannot establish metabolite abundance, enzymatic rate or metabolic flux. Complement recurrence also remains provisional where independent sample support is limited.
88	Heading 2	17	False	Future directions
89	Normal	339	False	Prospective studies should combine urine, blood, exfoliated urothelial cells and tissue-relevant sampling with pathogen metadata, recurrence follow-up and pregnancy outcome information. Matched steroid, lipid, cytokine, complement, metabolomic and proteomic measurements would directly test the branch-selective mechanisms identified here.
90	Normal	383	False	Larger single-cell and spatial datasets are needed to validate TNFSF9-positive macrophage states, regulatory-inflammatory T-cell programs, dendritic complement localization and tissue-specific endocrine responses. Perturbational models targeting TLR4, leptin/IRS/PI3K-AKT, complement branches, aromatization and lipid-redox programs would help distinguish correlation from mechanism.
91	Heading 2	16	False	Concluding model
92	Normal	504	False	The final model separates a robust recurrent infection core from provisional and context-divergent biology. TLR4-LPS, leptin and PI3K-AKT provide the strongest recurrent framework; pregnancy-associated steroid biology is best described as branch-selective synthesis-response decoupling; complement inflammatory and opsonophagocytic branches are recurrent but provisional; and single-cell analysis localizes these programs to distinct immune compartments without overcoming limited biological replication.
93	Normal	168	False	This endocrine-metabolic-immune atlas provides a reproducible foundation for mechanistic validation of UTI susceptibility, recurrence and pregnancy-associated outcomes.
94	Heading 1	17	False	Data availability
95	Normal	355	False	All datasets analyzed in this study are publicly available through the Gene Expression Omnibus under accession numbers GSE112098, GSE280297, GSE186800 and GSE252321. Dataset-specific roles, inclusion decisions, processed matrices, source locks and analysis manifests are documented within the project outputs. No new participant-level data were generated.
96	Heading 1	17	False	Code availability
97	Normal	353	False	All analysis and manuscript-generation steps were implemented as reproducible scripts under `10_scripts/` in the project directory. Frozen figure assets, source-value tables, audit manifests and checksum records are retained in the corresponding phase-specific output directories. A public repository archive will be finalized before journal submission.
98	Heading 1	16	False	Ethics statement
99	Normal	229	False	This study reanalyzed publicly available de-identified datasets and did not generate new human participant data. Final journal-specific ethics language should be aligned with source dataset access terms and target-journal policy.
100	Heading 1	20	False	Author contributions
101	Normal	274	False	Reuben S. Maghembe conceived the study, designed the computational workflow, performed the integrative analysis, interpreted the results, and drafted the manuscript. Final author-contribution statements should be updated after co-author review and contribution confirmation.
102	Heading 1	19	False	Competing interests
103	Normal	71	False	The competing-interest statement should be finalized before submission.
104	Heading 1	7	False	Funding
105	Normal	270	False	This work was supported by the Global Infectious Diseases Research Training Program, a collaboration between Kibong'oto Infectious Diseases Hospital and the University of Virginia, under the Fogarty International Center, National Institutes of Health grant D43 TW012247.
106	Heading 1	16	False	Acknowledgements
107	Normal	51	False	Acknowledgements should be added before submission.
108	Heading 1	20	False	Supplementary tables
109	Normal	116	False	Table S1. Dataset architecture, sample design and inclusion roles for GSE112098, GSE280297, GSE186800 and GSE252321.
110	Normal	77	False	Table S2. Expanded 78-submodule library organized across ten biological axes.
111	Normal	78	False	Table S3. Dataset-specific module effects and factorial or adjusted contrasts.
112	Normal	91	False	Table S4. Cross-dataset recurrence, directional concordance and evidence-class assignments.
113	Normal	74	False	Table S5. GSE280297 pregnancy, tissue and outcome-specific module effects.
114	Normal	93	False	Table S6. GSE252321 quality control, cluster markers, broad populations and refined subtypes.
115	Normal	80	False	Table S7. Broad-cell and refined-subtype pseudobulk module localization results.
116	Normal	79	False	Table S8. Complement-stage and endocrine-metabolic cellular attribution tables.
117	Normal	79	False	Table S9. Figure 1-8 source-value manifest and panel-level provenance registry.
118	Normal	91	False	Table S10. Interpretation-boundary, sensitivity and manuscript claim-traceability register.
119	Normal	0	True	
120	Normal	1931	False	Figure 1. Study architecture, datasets, contrasts and evidence hierarchy. (A) Conceptual map linking the cross-dataset infection core, pregnancy- and tissue-associated outcomes, endocrine-metabolic branches and cell-resolved immune localization under an explicit evidence hierarchy. (B) Dataset architecture comprising GSE112098, a human urinary/systemic inflammation comparator (n=73); GSE280297, a mouse pregnancy, tissue and outcome dataset (n=60 tissue samples); GSE186800, a mouse recurrent or prior-exposure bladder model (n=20); and GSE252321, a four-sample single-cell UPEC experiment. In GSE252321, 27,385 cells passed quality control, and a balanced subset was used for the displayed embedding. (C) Biological sample counts across bladder, placenta and uterus for the mock/PBS, nonpregnant UPEC, preterm UPEC and term UPEC groups in GSE280297. Tissue samples, rather than inferred dams, were retained as the statistical units. (D) Distribution of 78 curated submodules across ten biological axes, including steroid-cholesterol-endocrine biology, inflammatory carbon metabolism, nucleotide/NAD/nitrogen metabolism, complement architecture, amino-acid metabolism, lipid metabolism, immune-context anchors, adipokine signaling, insulin/IRS signaling and catecholamine-stress-adjacent biology. (E) Analytical workflow from expression repair and species-native module scoring through evidence synthesis and cellular attribution. Raw expression values were not pooled across studies, species or tissues. (F) Evidence hierarchy separating robust recurrent effects, provisional effects supported by one false-discovery-rate-qualified dataset plus independent concordance, context-divergent effects and limited independent support. All datasets were analyzed independently in their native species and tissue context. Cross-study integration was based on standardized effects and directional concordance, not merged raw expression.
121	Normal	0	True	
122	Normal	1681	False	Figure 2. Cross-dataset infection effects, recurrent cores and contextual comparators. (A) Signed independent infection-effect estimates for selected recurrent and contextual modules across the eligible datasets. Color denotes the direction and magnitude of the standardized module-level effect within each independently analyzed study. (B) Number of modules assigned to each evidence class after recurrence, false-discovery-rate support and independent-context evaluation. (C) Evidence-weighted topology connecting TLR4-LPS signaling, leptin, insulin receptor/IRS, PI3K-AKT, inflammatory response and glycogen/carbon-use programs. Arrows summarize recurrent directional coupling and do not establish a direct causal sequence. (D) Complement recurrence core comparing opsonophagocytosis and C3a/C5a inflammatory signaling across infection and preterm-versus-term contexts. Complement findings are interpreted as provisional where independent sample support is limited. (E) Age- and sex-adjusted estimates for systemic comparator modules in the human dataset, shown as signed adjusted effects. (F) Contextual factorial estimates for signaling and metabolic modules, highlighting effects that were strong in a specific model but not uniformly recurrent across all datasets. (G) Evidence-weighted directional concordance versus the median independent effect. Weighted concordance summarizes consistency of effect direction across eligible contrasts and is not a pooled expression estimate. Signed effects and recurrence classes are evidence-synthesis outputs. They should not be interpreted as causal estimates or as evidence that all biological contexts share an identical mechanism.
123	Normal	0	True	
