supplementary_table	table_number	description	source_sequence	source_path	source_exists	source_size_bytes	source_status	assembly_mode	selection_rationale	final_user_confirmation_required
Table S5	5	GSE280297 pregnancy, tissue and outcome-specific module effects.	1	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_tissue_effects.tsv	True	49813	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=20.0, margin=5.0.	True
Table S5	5	GSE280297 pregnancy, tissue and outcome-specific module effects.	2	project://06_tables/phaseU26B2B1_independent_dataset_evidence_collapse/UTI_HostOmics_U26B2B1_GSE280297_preterm_term_collapsed.tsv	True	27689	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=20.0, margin=5.0.	True
Table S5	5	GSE280297 pregnancy, tissue and outcome-specific module effects.	3	project://06_tables/phaseU27B2C2A_GSE280297_full_effect_source_repair/UTI_HostOmics_U27B2C2A_GSE280297_full_tissue_effect_matrix.tsv	True	13360	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=20.0, margin=5.0.	True
Table S6	6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	1	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_refined_subtype_module_results.tsv	True	383828	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=13.0, margin=0.0.	True
Table S6	6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	2	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_top_markers.tsv	True	23872	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=13.0, margin=0.0.	True
Table S6	6	GSE252321 quality control, cluster markers, broad populations and refined subtypes.	3	project://06_tables/phaseU26D2A_GSE252321_marker_celltype_reconstruction/UTI_HostOmics_U26D2A_cluster_marker_panel_scores.tsv	True	2489	PROVISIONAL_COMPOSITE_REVIEW	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=13.0, margin=0.0.	True
Table S7	7	Broad-cell and refined-subtype pseudobulk module localization results.	1	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_broad_cellular_localization.tsv	True	19587	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=21.0, margin=5.0.	True
Table S7	7	Broad-cell and refined-subtype pseudobulk module localization results.	2	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_core_module_cellular_localization.tsv	True	21268	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=21.0, margin=5.0.	True
Table S7	7	Broad-cell and refined-subtype pseudobulk module localization results.	3	project://06_tables/phaseU26D2B_GSE252321_refined_celltype_pseudobulk/UTI_HostOmics_U26D2B_subtype_cellular_localization.tsv	True	23329	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=21.0, margin=5.0.	True
Table S8	8	Complement-stage and endocrine-metabolic cellular attribution tables.	1	project://06_tables/phaseU26D2C_cellular_localization_synthesis/UTI_HostOmics_U26D2C_core_module_cellular_attribution.tsv	True	5977	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=4.0.	True
Table S8	8	Complement-stage and endocrine-metabolic cellular attribution tables.	2	project://05_results/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_run_manifest.json	True	752	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=4.0.	True
Table S8	8	Complement-stage and endocrine-metabolic cellular attribution tables.	3	project://06_tables/phaseU26B1_GSE280297_endocrine_metabolic_immune_scoring/UTI_HostOmics_U26B1_phase_decision.tsv	True	433	PROVISIONAL_HIGH_CONFIDENCE	ASSEMBLE_FROM_RANKED_EXISTING_SOURCES	Selected the top 3 existing ranked source(s); top score=10.0, margin=4.0.	True
Table S9	9	Figure 1-8 source-value manifest and panel-level provenance registry.	1	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_complete_asset_manifest.tsv	True	39896	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S9	9	Figure 1-8 source-value manifest and panel-level provenance registry.	2	project://03_metadata/phaseU27B3A_complete_eight_figure_package_assembly/UTI_HostOmics_U27B3A_figure_and_panel_title_registry.tsv	True	49496	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S9	9	Figure 1-8 source-value manifest and panel-level provenance registry.	3	project://03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_panel_legend_provenance_registry.tsv	True	56854	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S10	10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	1	project://03_metadata/phaseU27B3B_definitive_figure_legend_construction/UTI_HostOmics_U27B3B_caveat_terminology_registry.tsv	True	963	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S10	10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	2	project://06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_results_scientific_content_audit.tsv	True	2133	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
Table S10	10	Interpretation-boundary, sensitivity and manuscript claim-traceability register.	3	project://06_tables/phaseU27B3C31_corrected_results_scientific_audit/UTI_HostOmics_U27B3C31_false_negative_correction_rationale.tsv	True	595	LOCKED_HIGH_CONFIDENCE	DIRECT_OR_COMPOSITE_FROM_EXACT_FROZEN_SOURCES	Exact frozen source paths were available.	False
